"year","month","day","start","end","length","city"
2016,1,"1","8:19 ↑ (122°)","17:11 ↑ (238°)","8:52:35","alushta"
2016,1,"2","8:19 ↑ (122°)","17:12 ↑ (238°)","8:53:25","alushta"
2016,1,"3","8:19 ↑ (122°)","17:13 ↑ (238°)","8:54:19","alushta"
2016,1,"4","8:19 ↑ (122°)","17:14 ↑ (238°)","8:55:19","alushta"
2016,1,"5","8:19 ↑ (122°)","17:15 ↑ (238°)","8:56:23","alushta"
2016,1,"6","8:19 ↑ (122°)","17:16 ↑ (238°)","8:57:31","alushta"
2016,1,"7","8:19 ↑ (121°)","17:17 ↑ (239°)","8:58:43","alushta"
2016,1,"8","8:18 ↑ (121°)","17:18 ↑ (239°)","8:59:59","alushta"
2016,1,"9","8:18 ↑ (121°)","17:20 ↑ (239°)","9:01:19","alushta"
2016,1,"10","8:18 ↑ (121°)","17:21 ↑ (239°)","9:02:44","alushta"
2016,1,"11","8:18 ↑ (121°)","17:22 ↑ (239°)","9:04:13","alushta"
2016,1,"12","8:17 ↑ (120°)","17:23 ↑ (240°)","9:05:45","alushta"
2016,1,"13","8:17 ↑ (120°)","17:24 ↑ (240°)","9:07:21","alushta"
2016,1,"14","8:16 ↑ (120°)","17:25 ↑ (240°)","9:09:00","alushta"
2016,1,"15","8:16 ↑ (120°)","17:27 ↑ (240°)","9:10:44","alushta"
2016,1,"16","8:15 ↑ (119°)","17:28 ↑ (241°)","9:12:31","alushta"
2016,1,"17","8:15 ↑ (119°)","17:29 ↑ (241°)","9:14:21","alushta"
2016,1,"18","8:14 ↑ (119°)","17:30 ↑ (241°)","9:16:15","alushta"
2016,1,"19","8:13 ↑ (118°)","17:32 ↑ (242°)","9:18:12","alushta"
2016,1,"20","8:13 ↑ (118°)","17:33 ↑ (242°)","9:20:11","alushta"
2016,1,"21","8:12 ↑ (118°)","17:34 ↑ (242°)","9:22:15","alushta"
2016,1,"22","8:11 ↑ (118°)","17:36 ↑ (243°)","9:24:21","alushta"
2016,1,"23","8:11 ↑ (117°)","17:37 ↑ (243°)","9:26:29","alushta"
2016,1,"24","8:10 ↑ (117°)","17:38 ↑ (243°)","9:28:42","alushta"
2016,1,"25","8:09 ↑ (116°)","17:40 ↑ (244°)","9:30:56","alushta"
2016,1,"26","8:08 ↑ (116°)","17:41 ↑ (244°)","9:33:13","alushta"
2016,1,"27","8:07 ↑ (116°)","17:42 ↑ (244°)","9:35:33","alushta"
2016,1,"28","8:06 ↑ (115°)","17:44 ↑ (245°)","9:37:54","alushta"
2016,1,"29","8:05 ↑ (115°)","17:45 ↑ (245°)","9:40:19","alushta"
2016,1,"30","8:04 ↑ (115°)","17:47 ↑ (246°)","9:42:46","alushta"
2016,1,"31","8:03 ↑ (114°)","17:48 ↑ (246°)","9:45:15","alushta"
