"year","month","day","start","end","length","city"
2016,1,"1","7:47 ↑ (126°)","16:02 ↑ (234°)","8:14:47","cherkasy"
2016,1,"2","7:47 ↑ (126°)","16:03 ↑ (234°)","8:15:48","cherkasy"
2016,1,"3","7:47 ↑ (125°)","16:04 ↑ (235°)","8:16:56","cherkasy"
2016,1,"4","7:47 ↑ (125°)","16:05 ↑ (235°)","8:18:09","cherkasy"
2016,1,"5","7:47 ↑ (125°)","16:06 ↑ (235°)","8:19:27","cherkasy"
2016,1,"6","7:46 ↑ (125°)","16:07 ↑ (235°)","8:20:50","cherkasy"
2016,1,"7","7:46 ↑ (125°)","16:08 ↑ (235°)","8:22:19","cherkasy"
2016,1,"8","7:46 ↑ (125°)","16:10 ↑ (236°)","8:23:53","cherkasy"
2016,1,"9","7:45 ↑ (124°)","16:11 ↑ (236°)","8:25:32","cherkasy"
2016,1,"10","7:45 ↑ (124°)","16:12 ↑ (236°)","8:27:15","cherkasy"
2016,1,"11","7:45 ↑ (124°)","16:14 ↑ (236°)","8:29:04","cherkasy"
2016,1,"12","7:44 ↑ (124°)","16:15 ↑ (237°)","8:30:57","cherkasy"
2016,1,"13","7:43 ↑ (123°)","16:16 ↑ (237°)","8:32:54","cherkasy"
2016,1,"14","7:43 ↑ (123°)","16:18 ↑ (237°)","8:34:56","cherkasy"
2016,1,"15","7:42 ↑ (123°)","16:19 ↑ (237°)","8:37:02","cherkasy"
2016,1,"16","7:41 ↑ (122°)","16:21 ↑ (238°)","8:39:13","cherkasy"
2016,1,"17","7:41 ↑ (122°)","16:22 ↑ (238°)","8:41:27","cherkasy"
2016,1,"18","7:40 ↑ (122°)","16:24 ↑ (238°)","8:43:47","cherkasy"
2016,1,"19","7:39 ↑ (121°)","16:25 ↑ (239°)","8:46:08","cherkasy"
2016,1,"20","7:38 ↑ (121°)","16:27 ↑ (239°)","8:48:35","cherkasy"
2016,1,"21","7:37 ↑ (121°)","16:28 ↑ (240°)","8:51:04","cherkasy"
2016,1,"22","7:36 ↑ (120°)","16:30 ↑ (240°)","8:53:37","cherkasy"
2016,1,"23","7:35 ↑ (120°)","16:31 ↑ (240°)","8:56:14","cherkasy"
2016,1,"24","7:34 ↑ (119°)","16:33 ↑ (241°)","8:58:54","cherkasy"
2016,1,"25","7:33 ↑ (119°)","16:34 ↑ (241°)","9:01:36","cherkasy"
2016,1,"26","7:32 ↑ (119°)","16:36 ↑ (241°)","9:04:23","cherkasy"
2016,1,"27","7:30 ↑ (118°)","16:38 ↑ (242°)","9:07:12","cherkasy"
2016,1,"28","7:29 ↑ (118°)","16:39 ↑ (242°)","9:10:03","cherkasy"
2016,1,"29","7:28 ↑ (117°)","16:41 ↑ (243°)","9:12:58","cherkasy"
2016,1,"30","7:27 ↑ (117°)","16:43 ↑ (243°)","9:15:55","cherkasy"
2016,1,"31","7:25 ↑ (117°)","16:44 ↑ (244°)","9:18:55","cherkasy"
2016,2,"1","7:24 ↑ (116°)","16:46 ↑ (244°)","9:21:56","cherkasy"
2016,2,"2","7:23 ↑ (116°)","16:48 ↑ (245°)","9:25:01","cherkasy"
2016,2,"3","7:21 ↑ (115°)","16:49 ↑ (245°)","9:28:07","cherkasy"
2016,2,"4","7:20 ↑ (115°)","16:51 ↑ (246°)","9:31:16","cherkasy"
2016,2,"5","7:18 ↑ (114°)","16:53 ↑ (246°)","9:34:27","cherkasy"
2016,2,"6","7:17 ↑ (114°)","16:54 ↑ (247°)","9:37:39","cherkasy"
2016,2,"7","7:15 ↑ (113°)","16:56 ↑ (247°)","9:40:54","cherkasy"
2016,2,"8","7:14 ↑ (113°)","16:58 ↑ (248°)","9:44:10","cherkasy"
2016,2,"9","7:12 ↑ (112°)","16:59 ↑ (248°)","9:47:28","cherkasy"
2016,2,"10","7:10 ↑ (112°)","17:01 ↑ (249°)","9:50:47","cherkasy"
2016,2,"11","7:09 ↑ (111°)","17:03 ↑ (249°)","9:54:08","cherkasy"
2016,2,"12","7:07 ↑ (111°)","17:05 ↑ (250°)","9:57:31","cherkasy"
2016,2,"13","7:05 ↑ (110°)","17:06 ↑ (250°)","10:00:54","cherkasy"
2016,2,"14","7:04 ↑ (110°)","17:08 ↑ (251°)","10:04:19","cherkasy"
2016,2,"15","7:02 ↑ (109°)","17:10 ↑ (251°)","10:07:45","cherkasy"
2016,2,"16","7:00 ↑ (108°)","17:11 ↑ (252°)","10:11:12","cherkasy"
2016,2,"17","6:58 ↑ (108°)","17:13 ↑ (252°)","10:14:41","cherkasy"
2016,2,"18","6:56 ↑ (107°)","17:15 ↑ (253°)","10:18:10","cherkasy"
2016,2,"19","6:55 ↑ (107°)","17:16 ↑ (253°)","10:21:41","cherkasy"
2016,2,"20","6:53 ↑ (106°)","17:18 ↑ (254°)","10:25:12","cherkasy"
2016,2,"21","6:51 ↑ (106°)","17:20 ↑ (255°)","10:28:44","cherkasy"
2016,2,"22","6:49 ↑ (105°)","17:21 ↑ (255°)","10:32:17","cherkasy"
2016,2,"23","6:47 ↑ (105°)","17:23 ↑ (256°)","10:35:50","cherkasy"
2016,2,"24","6:45 ↑ (104°)","17:25 ↑ (256°)","10:39:24","cherkasy"
2016,2,"25","6:43 ↑ (103°)","17:26 ↑ (257°)","10:43:00","cherkasy"
2016,2,"26","6:41 ↑ (103°)","17:28 ↑ (257°)","10:46:36","cherkasy"
2016,2,"27","6:39 ↑ (102°)","17:30 ↑ (258°)","10:50:12","cherkasy"
2016,2,"28","6:37 ↑ (102°)","17:31 ↑ (259°)","10:53:49","cherkasy"
