"year","month","day","start","end","length","city"
2016,1,"1","7:31 ↑ (125°)","15:54 ↑ (235°)","8:23:10","dnipro"
2016,1,"2","7:31 ↑ (125°)","15:55 ↑ (235°)","8:24:09","dnipro"
2016,1,"3","7:31 ↑ (125°)","15:56 ↑ (235°)","8:25:13","dnipro"
2016,1,"4","7:31 ↑ (125°)","15:57 ↑ (235°)","8:26:23","dnipro"
2016,1,"5","7:31 ↑ (124°)","15:58 ↑ (236°)","8:27:38","dnipro"
2016,1,"6","7:31 ↑ (124°)","15:59 ↑ (236°)","8:28:58","dnipro"
2016,1,"7","7:30 ↑ (124°)","16:01 ↑ (236°)","8:30:23","dnipro"
2016,1,"8","7:30 ↑ (124°)","16:02 ↑ (236°)","8:31:53","dnipro"
2016,1,"9","7:30 ↑ (124°)","16:03 ↑ (237°)","8:33:27","dnipro"
2016,1,"10","7:29 ↑ (123°)","16:04 ↑ (237°)","8:35:06","dnipro"
2016,1,"11","7:29 ↑ (123°)","16:06 ↑ (237°)","8:36:50","dnipro"
2016,1,"12","7:28 ↑ (123°)","16:07 ↑ (237°)","8:38:38","dnipro"
2016,1,"13","7:28 ↑ (123°)","16:08 ↑ (238°)","8:40:31","dnipro"
2016,1,"14","7:27 ↑ (122°)","16:10 ↑ (238°)","8:42:28","dnipro"
2016,1,"15","7:26 ↑ (122°)","16:11 ↑ (238°)","8:44:29","dnipro"
2016,1,"16","7:26 ↑ (122°)","16:12 ↑ (238°)","8:46:34","dnipro"
2016,1,"17","7:25 ↑ (121°)","16:14 ↑ (239°)","8:48:43","dnipro"
2016,1,"18","7:24 ↑ (121°)","16:15 ↑ (239°)","8:50:56","dnipro"
2016,1,"19","7:23 ↑ (121°)","16:17 ↑ (239°)","8:53:13","dnipro"
2016,1,"20","7:23 ↑ (120°)","16:18 ↑ (240°)","8:55:32","dnipro"
2016,1,"21","7:22 ↑ (120°)","16:20 ↑ (240°)","8:57:56","dnipro"
2016,1,"22","7:21 ↑ (120°)","16:21 ↑ (241°)","9:00:24","dnipro"
2016,1,"23","7:20 ↑ (119°)","16:23 ↑ (241°)","9:02:54","dnipro"
2016,1,"24","7:19 ↑ (119°)","16:24 ↑ (241°)","9:05:27","dnipro"
2016,1,"25","7:18 ↑ (118°)","16:26 ↑ (242°)","9:08:03","dnipro"
2016,1,"26","7:17 ↑ (118°)","16:27 ↑ (242°)","9:10:43","dnipro"
2016,1,"27","7:15 ↑ (118°)","16:29 ↑ (242°)","9:13:25","dnipro"
2016,1,"28","7:14 ↑ (117°)","16:30 ↑ (243°)","9:16:10","dnipro"
2016,1,"29","7:13 ↑ (117°)","16:32 ↑ (243°)","9:18:59","dnipro"
2016,1,"30","7:12 ↑ (116°)","16:34 ↑ (244°)","9:21:48","dnipro"
2016,1,"31","7:11 ↑ (116°)","16:35 ↑ (244°)","9:24:41","dnipro"
