"year","month","day","start","end","length","city"
2016,1,"1","8:18 ↑ (125°)","16:45 ↑ (235°)","8:26:59","donetsk"
2016,1,"2","8:18 ↑ (125°)","16:46 ↑ (236°)","8:27:57","donetsk"
2016,1,"3","8:18 ↑ (124°)","16:47 ↑ (236°)","8:29:01","donetsk"
2016,1,"4","8:18 ↑ (124°)","16:48 ↑ (236°)","8:30:09","donetsk"
2016,1,"5","8:18 ↑ (124°)","16:49 ↑ (236°)","8:31:22","donetsk"
2016,1,"6","8:18 ↑ (124°)","16:50 ↑ (236°)","8:32:41","donetsk"
2016,1,"7","8:17 ↑ (124°)","16:51 ↑ (236°)","8:34:03","donetsk"
2016,1,"8","8:17 ↑ (123°)","16:53 ↑ (237°)","8:35:31","donetsk"
2016,1,"9","8:17 ↑ (123°)","16:54 ↑ (237°)","8:37:04","donetsk"
2016,1,"10","8:16 ↑ (123°)","16:55 ↑ (237°)","8:38:42","donetsk"
2016,1,"11","8:16 ↑ (123°)","16:56 ↑ (237°)","8:40:23","donetsk"
2016,1,"12","8:15 ↑ (122°)","16:58 ↑ (238°)","8:42:09","donetsk"
2016,1,"13","8:15 ↑ (122°)","16:59 ↑ (238°)","8:43:59","donetsk"
2016,1,"14","8:14 ↑ (122°)","17:00 ↑ (238°)","8:45:54","donetsk"
2016,1,"15","8:14 ↑ (122°)","17:02 ↑ (238°)","8:47:53","donetsk"
2016,1,"16","8:13 ↑ (121°)","17:03 ↑ (239°)","8:49:55","donetsk"
2016,1,"17","8:12 ↑ (121°)","17:04 ↑ (239°)","8:52:02","donetsk"
2016,1,"18","8:12 ↑ (121°)","17:06 ↑ (239°)","8:54:12","donetsk"
2016,1,"19","8:11 ↑ (120°)","17:07 ↑ (240°)","8:56:26","donetsk"
2016,1,"20","8:10 ↑ (120°)","17:09 ↑ (240°)","8:58:44","donetsk"
2016,1,"21","8:09 ↑ (120°)","17:10 ↑ (240°)","9:01:04","donetsk"
2016,1,"22","8:08 ↑ (119°)","17:12 ↑ (241°)","9:03:28","donetsk"
2016,1,"23","8:07 ↑ (119°)","17:13 ↑ (241°)","9:05:57","donetsk"
2016,1,"24","8:06 ↑ (119°)","17:15 ↑ (242°)","9:08:26","donetsk"
2016,1,"25","8:05 ↑ (118°)","17:16 ↑ (242°)","9:11:00","donetsk"
2016,1,"26","8:04 ↑ (118°)","17:18 ↑ (242°)","9:13:37","donetsk"
2016,1,"27","8:03 ↑ (117°)","17:19 ↑ (243°)","9:16:16","donetsk"
2016,1,"28","8:02 ↑ (117°)","17:21 ↑ (243°)","9:18:58","donetsk"
2016,1,"29","8:01 ↑ (117°)","17:22 ↑ (244°)","9:21:43","donetsk"
2016,1,"30","7:59 ↑ (116°)","17:24 ↑ (244°)","9:24:30","donetsk"
2016,1,"31","7:58 ↑ (116°)","17:26 ↑ (244°)","9:27:19","donetsk"
2016,2,"1","7:57 ↑ (115°)","17:27 ↑ (245°)","9:30:11","donetsk"
2016,2,"2","7:56 ↑ (115°)","17:29 ↑ (245°)","9:33:06","donetsk"
2016,2,"3","7:54 ↑ (114°)","17:30 ↑ (246°)","9:36:02","donetsk"
2016,2,"4","7:53 ↑ (114°)","17:32 ↑ (246°)","9:39:00","donetsk"
2016,2,"5","7:52 ↑ (113°)","17:34 ↑ (247°)","9:42:00","donetsk"
2016,2,"6","7:50 ↑ (113°)","17:35 ↑ (247°)","9:45:02","donetsk"
2016,2,"7","7:49 ↑ (113°)","17:37 ↑ (248°)","9:48:07","donetsk"
2016,2,"8","7:47 ↑ (112°)","17:38 ↑ (248°)","9:51:12","donetsk"
2016,2,"9","7:46 ↑ (112°)","17:40 ↑ (249°)","9:54:19","donetsk"
2016,2,"10","7:44 ↑ (111°)","17:42 ↑ (249°)","9:57:27","donetsk"
2016,2,"11","7:43 ↑ (111°)","17:43 ↑ (250°)","10:00:38","donetsk"
2016,2,"12","7:41 ↑ (110°)","17:45 ↑ (250°)","10:03:50","donetsk"
2016,2,"13","7:39 ↑ (110°)","17:46 ↑ (251°)","10:07:03","donetsk"
2016,2,"14","7:38 ↑ (109°)","17:48 ↑ (251°)","10:10:17","donetsk"
2016,2,"15","7:36 ↑ (108°)","17:50 ↑ (252°)","10:13:32","donetsk"
2016,2,"16","7:34 ↑ (108°)","17:51 ↑ (252°)","10:16:49","donetsk"
2016,2,"17","7:33 ↑ (107°)","17:53 ↑ (253°)","10:20:06","donetsk"
2016,2,"18","7:31 ↑ (107°)","17:54 ↑ (253°)","10:23:24","donetsk"
2016,2,"19","7:29 ↑ (106°)","17:56 ↑ (254°)","10:26:44","donetsk"
2016,2,"20","7:27 ↑ (106°)","17:57 ↑ (254°)","10:30:05","donetsk"
2016,2,"21","7:26 ↑ (105°)","17:59 ↑ (255°)","10:33:26","donetsk"
2016,2,"22","7:24 ↑ (105°)","18:01 ↑ (256°)","10:36:48","donetsk"
2016,2,"23","7:22 ↑ (104°)","18:02 ↑ (256°)","10:40:11","donetsk"
2016,2,"24","7:20 ↑ (104°)","18:04 ↑ (257°)","10:43:35","donetsk"
2016,2,"25","7:18 ↑ (103°)","18:05 ↑ (257°)","10:46:58","donetsk"
2016,2,"26","7:16 ↑ (102°)","18:07 ↑ (258°)","10:50:23","donetsk"
2016,2,"27","7:15 ↑ (102°)","18:08 ↑ (258°)","10:53:49","donetsk"
2016,2,"28","7:13 ↑ (101°)","18:10 ↑ (259°)","10:57:15","donetsk"
2016,2,"29","7:11 ↑ (101°)","18:11 ↑ (259°)","11:00:42","donetsk"
2016,3,"1","7:09 ↑ (100°)","18:13 ↑ (260°)","11:04:09","donetsk"
2016,3,"2","7:07 ↑ (100°)","18:15 ↑ (261°)","11:07:36","donetsk"
2016,3,"3","7:05 ↑ (99°)","18:16 ↑ (261°)","11:11:04","donetsk"
2016,3,"4","7:03 ↑ (98°)","18:18 ↑ (262°)","11:14:32","donetsk"
2016,3,"5","7:01 ↑ (98°)","18:19 ↑ (262°)","11:18:00","donetsk"
2016,3,"6","6:59 ↑ (97°)","18:21 ↑ (263°)","11:21:29","donetsk"
2016,3,"7","6:57 ↑ (97°)","18:22 ↑ (264°)","11:24:59","donetsk"
2016,3,"8","6:55 ↑ (96°)","18:24 ↑ (264°)","11:28:28","donetsk"
2016,3,"9","6:53 ↑ (96°)","18:25 ↑ (265°)","11:31:58","donetsk"
2016,3,"10","6:51 ↑ (95°)","18:27 ↑ (265°)","11:35:28","donetsk"
2016,3,"11","6:49 ↑ (94°)","18:28 ↑ (266°)","11:38:58","donetsk"
2016,3,"12","6:47 ↑ (94°)","18:30 ↑ (266°)","11:42:29","donetsk"
2016,3,"13","6:45 ↑ (93°)","18:31 ↑ (267°)","11:45:59","donetsk"
2016,3,"14","6:43 ↑ (93°)","18:33 ↑ (268°)","11:49:29","donetsk"
2016,3,"15","6:41 ↑ (92°)","18:34 ↑ (268°)","11:52:59","donetsk"
2016,3,"16","6:39 ↑ (91°)","18:36 ↑ (269°)","11:56:30","donetsk"
2016,3,"17","6:37 ↑ (91°)","18:37 ↑ (269°)","12:00:01","donetsk"
2016,3,"18","6:35 ↑ (90°)","18:38 ↑ (270°)","12:03:32","donetsk"
2016,3,"19","6:33 ↑ (90°)","18:40 ↑ (271°)","12:07:01","donetsk"
2016,3,"20","6:31 ↑ (89°)","18:41 ↑ (271°)","12:10:32","donetsk"
2016,3,"21","6:29 ↑ (89°)","18:43 ↑ (272°)","12:14:02","donetsk"
2016,3,"22","6:27 ↑ (88°)","18:44 ↑ (272°)","12:17:33","donetsk"
2016,3,"23","6:25 ↑ (87°)","18:46 ↑ (273°)","12:21:04","donetsk"
2016,3,"24","6:23 ↑ (87°)","18:47 ↑ (274°)","12:24:34","donetsk"
2016,3,"25","6:21 ↑ (86°)","18:49 ↑ (274°)","12:28:04","donetsk"
2016,3,"26","6:19 ↑ (86°)","18:50 ↑ (275°)","12:31:34","donetsk"
2016,3,"27","6:16 ↑ (85°)","18:52 ↑ (275°)","12:35:03","donetsk"
2016,3,"28","6:14 ↑ (84°)","18:53 ↑ (276°)","12:38:33","donetsk"
2016,3,"29","6:12 ↑ (84°)","18:54 ↑ (276°)","12:42:02","donetsk"
2016,3,"30","6:10 ↑ (83°)","18:56 ↑ (277°)","12:45:31","donetsk"
2016,3,"31","6:08 ↑ (83°)","18:57 ↑ (278°)","12:49:00","donetsk"
2016,4,"1","6:06 ↑ (82°)","18:59 ↑ (278°)","12:52:28","donetsk"
2016,4,"2","6:04 ↑ (81°)","19:00 ↑ (279°)","12:55:57","donetsk"
2016,4,"3","6:02 ↑ (81°)","19:02 ↑ (279°)","12:59:24","donetsk"
2016,4,"4","6:00 ↑ (80°)","19:03 ↑ (280°)","13:02:52","donetsk"
2016,4,"5","5:58 ↑ (80°)","19:05 ↑ (281°)","13:06:20","donetsk"
2016,4,"6","5:56 ↑ (79°)","19:06 ↑ (281°)","13:09:46","donetsk"
2016,4,"7","5:54 ↑ (79°)","19:07 ↑ (282°)","13:13:12","donetsk"
2016,4,"8","5:52 ↑ (78°)","19:09 ↑ (282°)","13:16:38","donetsk"
2016,4,"9","5:50 ↑ (78°)","19:10 ↑ (283°)","13:20:03","donetsk"
2016,4,"10","5:48 ↑ (77°)","19:12 ↑ (283°)","13:23:28","donetsk"
2016,4,"11","5:46 ↑ (76°)","19:13 ↑ (284°)","13:26:52","donetsk"
2016,4,"12","5:44 ↑ (76°)","19:15 ↑ (284°)","13:30:16","donetsk"
2016,4,"13","5:42 ↑ (75°)","19:16 ↑ (285°)","13:33:39","donetsk"
2016,4,"14","5:40 ↑ (75°)","19:17 ↑ (286°)","13:37:01","donetsk"
2016,4,"15","5:39 ↑ (74°)","19:19 ↑ (286°)","13:40:22","donetsk"
2016,4,"16","5:37 ↑ (74°)","19:20 ↑ (287°)","13:43:44","donetsk"
2016,4,"17","5:35 ↑ (73°)","19:22 ↑ (287°)","13:47:03","donetsk"
2016,4,"18","5:33 ↑ (73°)","19:23 ↑ (288°)","13:50:22","donetsk"
2016,4,"19","5:31 ↑ (72°)","19:25 ↑ (288°)","13:53:40","donetsk"
2016,4,"20","5:29 ↑ (71°)","19:26 ↑ (289°)","13:56:58","donetsk"
2016,4,"21","5:27 ↑ (71°)","19:28 ↑ (289°)","14:00:14","donetsk"
2016,4,"22","5:25 ↑ (70°)","19:29 ↑ (290°)","14:03:29","donetsk"
2016,4,"23","5:24 ↑ (70°)","19:30 ↑ (290°)","14:06:43","donetsk"
2016,4,"24","5:22 ↑ (69°)","19:32 ↑ (291°)","14:09:56","donetsk"
2016,4,"25","5:20 ↑ (69°)","19:33 ↑ (291°)","14:13:08","donetsk"
2016,4,"26","5:18 ↑ (68°)","19:35 ↑ (292°)","14:16:19","donetsk"
2016,4,"27","5:17 ↑ (68°)","19:36 ↑ (292°)","14:19:28","donetsk"
2016,4,"28","5:15 ↑ (67°)","19:37 ↑ (293°)","14:22:36","donetsk"
2016,4,"29","5:13 ↑ (67°)","19:39 ↑ (293°)","14:25:43","donetsk"
2016,4,"30","5:12 ↑ (66°)","19:40 ↑ (294°)","14:28:48","donetsk"
2016,5,"1","5:10 ↑ (66°)","19:42 ↑ (294°)","14:31:52","donetsk"
2016,5,"2","5:08 ↑ (66°)","19:43 ↑ (295°)","14:34:54","donetsk"
2016,5,"3","5:07 ↑ (65°)","19:45 ↑ (295°)","14:37:55","donetsk"
2016,5,"4","5:05 ↑ (65°)","19:46 ↑ (296°)","14:40:53","donetsk"
2016,5,"5","5:03 ↑ (64°)","19:47 ↑ (296°)","14:43:50","donetsk"
2016,5,"6","5:02 ↑ (64°)","19:49 ↑ (297°)","14:46:46","donetsk"
2016,5,"7","5:00 ↑ (63°)","19:50 ↑ (297°)","14:49:38","donetsk"
2016,5,"8","4:59 ↑ (63°)","19:51 ↑ (297°)","14:52:29","donetsk"
2016,5,"9","4:58 ↑ (62°)","19:53 ↑ (298°)","14:55:18","donetsk"
2016,5,"10","4:56 ↑ (62°)","19:54 ↑ (298°)","14:58:05","donetsk"
2016,5,"11","4:55 ↑ (62°)","19:55 ↑ (299°)","15:00:49","donetsk"
2016,5,"12","4:53 ↑ (61°)","19:57 ↑ (299°)","15:03:32","donetsk"
2016,5,"13","4:52 ↑ (61°)","19:58 ↑ (300°)","15:06:11","donetsk"
2016,5,"14","4:51 ↑ (60°)","19:59 ↑ (300°)","15:08:48","donetsk"
2016,5,"15","4:49 ↑ (60°)","20:01 ↑ (300°)","15:11:23","donetsk"
2016,5,"16","4:48 ↑ (60°)","20:02 ↑ (301°)","15:13:54","donetsk"
2016,5,"17","4:47 ↑ (59°)","20:03 ↑ (301°)","15:16:23","donetsk"
2016,5,"18","4:46 ↑ (59°)","20:05 ↑ (301°)","15:18:49","donetsk"
2016,5,"19","4:45 ↑ (58°)","20:06 ↑ (302°)","15:21:12","donetsk"
2016,5,"20","4:43 ↑ (58°)","20:07 ↑ (302°)","15:23:33","donetsk"
2016,5,"21","4:42 ↑ (58°)","20:08 ↑ (302°)","15:25:49","donetsk"
2016,5,"22","4:41 ↑ (57°)","20:09 ↑ (303°)","15:28:03","donetsk"
2016,5,"23","4:40 ↑ (57°)","20:11 ↑ (303°)","15:30:13","donetsk"
2016,5,"24","4:39 ↑ (57°)","20:12 ↑ (303°)","15:32:21","donetsk"
2016,5,"25","4:38 ↑ (57°)","20:13 ↑ (304°)","15:34:24","donetsk"
2016,5,"26","4:37 ↑ (56°)","20:14 ↑ (304°)","15:36:23","donetsk"
