"year","month","day","start","end","length","city"
2016,1,"1","8:08 ↑ (126°)","16:22 ↑ (234°)","8:14:52","khmelnytskyi"
2016,1,"2","8:07 ↑ (126°)","16:23 ↑ (234°)","8:15:53","khmelnytskyi"
2016,1,"3","8:07 ↑ (125°)","16:24 ↑ (235°)","8:17:01","khmelnytskyi"
2016,1,"4","8:07 ↑ (125°)","16:25 ↑ (235°)","8:18:14","khmelnytskyi"
2016,1,"5","8:07 ↑ (125°)","16:27 ↑ (235°)","8:19:32","khmelnytskyi"
2016,1,"6","8:07 ↑ (125°)","16:28 ↑ (235°)","8:20:56","khmelnytskyi"
2016,1,"7","8:07 ↑ (125°)","16:29 ↑ (235°)","8:22:24","khmelnytskyi"
2016,1,"8","8:06 ↑ (125°)","16:30 ↑ (236°)","8:23:59","khmelnytskyi"
2016,1,"9","8:06 ↑ (124°)","16:31 ↑ (236°)","8:25:37","khmelnytskyi"
2016,1,"10","8:05 ↑ (124°)","16:33 ↑ (236°)","8:27:21","khmelnytskyi"
2016,1,"11","8:05 ↑ (124°)","16:34 ↑ (236°)","8:29:09","khmelnytskyi"
2016,1,"12","8:04 ↑ (124°)","16:35 ↑ (237°)","8:31:03","khmelnytskyi"
2016,1,"13","8:04 ↑ (123°)","16:37 ↑ (237°)","8:33:00","khmelnytskyi"
2016,1,"14","8:03 ↑ (123°)","16:38 ↑ (237°)","8:35:02","khmelnytskyi"
2016,1,"15","8:02 ↑ (123°)","16:40 ↑ (237°)","8:37:08","khmelnytskyi"
2016,1,"16","8:02 ↑ (122°)","16:41 ↑ (238°)","8:39:19","khmelnytskyi"
2016,1,"17","8:01 ↑ (122°)","16:42 ↑ (238°)","8:41:33","khmelnytskyi"
2016,1,"18","8:00 ↑ (122°)","16:44 ↑ (238°)","8:43:51","khmelnytskyi"
2016,1,"19","7:59 ↑ (121°)","16:45 ↑ (239°)","8:46:14","khmelnytskyi"
2016,1,"20","7:58 ↑ (121°)","16:47 ↑ (239°)","8:48:40","khmelnytskyi"
2016,1,"21","7:57 ↑ (121°)","16:49 ↑ (240°)","8:51:09","khmelnytskyi"
2016,1,"22","7:56 ↑ (120°)","16:50 ↑ (240°)","8:53:43","khmelnytskyi"
2016,1,"23","7:55 ↑ (120°)","16:52 ↑ (240°)","8:56:20","khmelnytskyi"
2016,1,"24","7:54 ↑ (119°)","16:53 ↑ (241°)","8:58:59","khmelnytskyi"
2016,1,"25","7:53 ↑ (119°)","16:55 ↑ (241°)","9:01:42","khmelnytskyi"
2016,1,"26","7:52 ↑ (119°)","16:56 ↑ (241°)","9:04:28","khmelnytskyi"
2016,1,"27","7:51 ↑ (118°)","16:58 ↑ (242°)","9:07:17","khmelnytskyi"
2016,1,"28","7:50 ↑ (118°)","17:00 ↑ (242°)","9:10:09","khmelnytskyi"
2016,1,"29","7:48 ↑ (117°)","17:01 ↑ (243°)","9:13:04","khmelnytskyi"
2016,1,"30","7:47 ↑ (117°)","17:03 ↑ (243°)","9:16:00","khmelnytskyi"
2016,1,"31","7:46 ↑ (116°)","17:05 ↑ (244°)","9:19:00","khmelnytskyi"
2016,2,"1","7:44 ↑ (116°)","17:06 ↑ (244°)","9:22:02","khmelnytskyi"
2016,2,"2","7:43 ↑ (116°)","17:08 ↑ (245°)","9:25:06","khmelnytskyi"
2016,2,"3","7:42 ↑ (115°)","17:10 ↑ (245°)","9:28:13","khmelnytskyi"
2016,2,"4","7:40 ↑ (115°)","17:11 ↑ (246°)","9:31:21","khmelnytskyi"
2016,2,"5","7:39 ↑ (114°)","17:13 ↑ (246°)","9:34:32","khmelnytskyi"
2016,2,"6","7:37 ↑ (114°)","17:15 ↑ (247°)","9:37:45","khmelnytskyi"
2016,2,"7","7:35 ↑ (113°)","17:16 ↑ (247°)","9:40:59","khmelnytskyi"
2016,2,"8","7:34 ↑ (113°)","17:18 ↑ (248°)","9:44:15","khmelnytskyi"
2016,2,"9","7:32 ↑ (112°)","17:20 ↑ (248°)","9:47:33","khmelnytskyi"
2016,2,"10","7:31 ↑ (112°)","17:22 ↑ (249°)","9:50:52","khmelnytskyi"
2016,2,"11","7:29 ↑ (111°)","17:23 ↑ (249°)","9:54:14","khmelnytskyi"
2016,2,"12","7:27 ↑ (111°)","17:25 ↑ (250°)","9:57:35","khmelnytskyi"
2016,2,"13","7:26 ↑ (110°)","17:27 ↑ (250°)","10:00:59","khmelnytskyi"
2016,2,"14","7:24 ↑ (110°)","17:28 ↑ (251°)","10:04:24","khmelnytskyi"
2016,2,"15","7:22 ↑ (109°)","17:30 ↑ (251°)","10:07:50","khmelnytskyi"
