"year","month","day","start","end","length","city"
2016,1,"1","7:35 ↑ (125°)","16:03 ↑ (235°)","8:27:57","kryvyi-rih"
2016,1,"2","7:35 ↑ (124°)","16:04 ↑ (236°)","8:28:55","kryvyi-rih"
2016,1,"3","7:35 ↑ (124°)","16:05 ↑ (236°)","8:29:58","kryvyi-rih"
2016,1,"4","7:35 ↑ (124°)","16:06 ↑ (236°)","8:31:06","kryvyi-rih"
2016,1,"5","7:35 ↑ (124°)","16:07 ↑ (236°)","8:32:19","kryvyi-rih"
2016,1,"6","7:35 ↑ (124°)","16:08 ↑ (236°)","8:33:37","kryvyi-rih"
2016,1,"7","7:35 ↑ (124°)","16:10 ↑ (236°)","8:35:00","kryvyi-rih"
2016,1,"8","7:34 ↑ (123°)","16:11 ↑ (237°)","8:36:28","kryvyi-rih"
2016,1,"9","7:34 ↑ (123°)","16:12 ↑ (237°)","8:38:00","kryvyi-rih"
2016,1,"10","7:34 ↑ (123°)","16:13 ↑ (237°)","8:39:36","kryvyi-rih"
2016,1,"11","7:33 ↑ (123°)","16:14 ↑ (237°)","8:41:18","kryvyi-rih"
2016,1,"12","7:33 ↑ (122°)","16:16 ↑ (238°)","8:43:04","kryvyi-rih"
2016,1,"13","7:32 ↑ (122°)","16:17 ↑ (238°)","8:44:53","kryvyi-rih"
2016,1,"14","7:32 ↑ (122°)","16:18 ↑ (238°)","8:46:47","kryvyi-rih"
2016,1,"15","7:31 ↑ (122°)","16:20 ↑ (239°)","8:48:46","kryvyi-rih"
2016,1,"16","7:30 ↑ (121°)","16:21 ↑ (239°)","8:50:47","kryvyi-rih"
2016,1,"17","7:30 ↑ (121°)","16:23 ↑ (239°)","8:52:53","kryvyi-rih"
2016,1,"18","7:29 ↑ (121°)","16:24 ↑ (239°)","8:55:03","kryvyi-rih"
2016,1,"19","7:28 ↑ (120°)","16:25 ↑ (240°)","8:57:16","kryvyi-rih"
2016,1,"20","7:27 ↑ (120°)","16:27 ↑ (240°)","8:59:33","kryvyi-rih"
2016,1,"21","7:26 ↑ (120°)","16:28 ↑ (240°)","9:01:54","kryvyi-rih"
2016,1,"22","7:25 ↑ (119°)","16:30 ↑ (241°)","9:04:17","kryvyi-rih"
2016,1,"23","7:25 ↑ (119°)","16:31 ↑ (241°)","9:06:43","kryvyi-rih"
2016,1,"24","7:24 ↑ (119°)","16:33 ↑ (242°)","9:09:14","kryvyi-rih"
2016,1,"25","7:23 ↑ (118°)","16:34 ↑ (242°)","9:11:47","kryvyi-rih"
2016,1,"26","7:21 ↑ (118°)","16:36 ↑ (242°)","9:14:23","kryvyi-rih"
2016,1,"27","7:20 ↑ (117°)","16:37 ↑ (243°)","9:17:01","kryvyi-rih"
2016,1,"28","7:19 ↑ (117°)","16:39 ↑ (243°)","9:19:42","kryvyi-rih"
2016,1,"29","7:18 ↑ (117°)","16:40 ↑ (244°)","9:22:26","kryvyi-rih"
2016,1,"30","7:17 ↑ (116°)","16:42 ↑ (244°)","9:25:13","kryvyi-rih"
2016,1,"31","7:16 ↑ (116°)","16:44 ↑ (244°)","9:28:01","kryvyi-rih"
2016,2,"1","7:14 ↑ (115°)","16:45 ↑ (245°)","9:30:53","kryvyi-rih"
2016,2,"2","7:13 ↑ (115°)","16:47 ↑ (245°)","9:33:46","kryvyi-rih"
2016,2,"3","7:12 ↑ (114°)","16:48 ↑ (246°)","9:36:41","kryvyi-rih"
2016,2,"4","7:10 ↑ (114°)","16:50 ↑ (246°)","9:39:39","kryvyi-rih"
2016,2,"5","7:09 ↑ (113°)","16:52 ↑ (247°)","9:42:38","kryvyi-rih"
2016,2,"6","7:07 ↑ (113°)","16:53 ↑ (247°)","9:45:40","kryvyi-rih"
2016,2,"7","7:06 ↑ (112°)","16:55 ↑ (248°)","9:48:43","kryvyi-rih"
2016,2,"8","7:05 ↑ (112°)","16:56 ↑ (248°)","9:51:48","kryvyi-rih"
2016,2,"9","7:03 ↑ (111°)","16:58 ↑ (249°)","9:54:55","kryvyi-rih"
2016,2,"10","7:01 ↑ (111°)","17:00 ↑ (249°)","9:58:02","kryvyi-rih"
2016,2,"11","7:00 ↑ (110°)","17:01 ↑ (250°)","10:01:11","kryvyi-rih"
2016,2,"12","6:58 ↑ (110°)","17:03 ↑ (250°)","10:04:22","kryvyi-rih"
2016,2,"13","6:57 ↑ (109°)","17:04 ↑ (251°)","10:07:35","kryvyi-rih"
2016,2,"14","6:55 ↑ (109°)","17:06 ↑ (251°)","10:10:48","kryvyi-rih"
2016,2,"15","6:53 ↑ (108°)","17:07 ↑ (252°)","10:14:02","kryvyi-rih"
2016,2,"16","6:52 ↑ (108°)","17:09 ↑ (252°)","10:17:17","kryvyi-rih"
2016,2,"17","6:50 ↑ (107°)","17:11 ↑ (253°)","10:20:34","kryvyi-rih"
2016,2,"18","6:48 ↑ (107°)","17:12 ↑ (253°)","10:23:52","kryvyi-rih"
2016,2,"19","6:47 ↑ (106°)","17:14 ↑ (254°)","10:27:10","kryvyi-rih"
2016,2,"20","6:45 ↑ (106°)","17:15 ↑ (254°)","10:30:31","kryvyi-rih"
2016,2,"21","6:43 ↑ (105°)","17:17 ↑ (255°)","10:33:50","kryvyi-rih"
2016,2,"22","6:41 ↑ (105°)","17:19 ↑ (256°)","10:37:12","kryvyi-rih"
2016,2,"23","6:40 ↑ (104°)","17:20 ↑ (256°)","10:40:34","kryvyi-rih"
2016,2,"24","6:38 ↑ (104°)","17:22 ↑ (257°)","10:43:57","kryvyi-rih"
2016,2,"25","6:36 ↑ (103°)","17:23 ↑ (257°)","10:47:20","kryvyi-rih"
2016,2,"26","6:34 ↑ (102°)","17:25 ↑ (258°)","10:50:44","kryvyi-rih"
2016,2,"27","6:32 ↑ (102°)","17:26 ↑ (258°)","10:54:09","kryvyi-rih"
2016,2,"28","6:30 ↑ (101°)","17:28 ↑ (259°)","10:57:34","kryvyi-rih"
2016,2,"29","6:28 ↑ (101°)","17:29 ↑ (260°)","11:01:00","kryvyi-rih"
2016,3,"1","6:26 ↑ (100°)","17:31 ↑ (260°)","11:04:25","kryvyi-rih"
2016,3,"2","6:24 ↑ (100°)","17:32 ↑ (261°)","11:07:53","kryvyi-rih"
2016,3,"3","6:23 ↑ (99°)","17:34 ↑ (261°)","11:11:20","kryvyi-rih"
