"year","month","day","start","end","length","city"
2016,1,"1","7:58 ↑ (127°)","16:04 ↑ (233°)","8:05:37","kyiv"
2016,1,"2","7:58 ↑ (127°)","16:05 ↑ (234°)","8:06:42","kyiv"
2016,1,"3","7:58 ↑ (126°)","16:06 ↑ (234°)","8:07:52","kyiv"
2016,1,"4","7:58 ↑ (126°)","16:07 ↑ (234°)","8:09:09","kyiv"
2016,1,"5","7:57 ↑ (126°)","16:08 ↑ (234°)","8:10:32","kyiv"
2016,1,"6","7:57 ↑ (126°)","16:09 ↑ (234°)","8:11:59","kyiv"
2016,1,"7","7:57 ↑ (126°)","16:10 ↑ (235°)","8:13:32","kyiv"
2016,1,"8","7:56 ↑ (125°)","16:12 ↑ (235°)","8:15:09","kyiv"
2016,1,"9","7:56 ↑ (125°)","16:13 ↑ (235°)","8:16:53","kyiv"
2016,1,"10","7:56 ↑ (125°)","16:14 ↑ (235°)","8:18:42","kyiv"
2016,1,"11","7:55 ↑ (125°)","16:16 ↑ (236°)","8:20:35","kyiv"
2016,1,"12","7:54 ↑ (124°)","16:17 ↑ (236°)","8:22:33","kyiv"
2016,1,"13","7:54 ↑ (124°)","16:18 ↑ (236°)","8:24:36","kyiv"
2016,1,"14","7:53 ↑ (124°)","16:20 ↑ (236°)","8:26:44","kyiv"
2016,1,"15","7:52 ↑ (123°)","16:21 ↑ (237°)","8:28:55","kyiv"
2016,1,"16","7:52 ↑ (123°)","16:23 ↑ (237°)","8:31:12","kyiv"
2016,1,"17","7:51 ↑ (123°)","16:24 ↑ (237°)","8:33:33","kyiv"
2016,1,"18","7:50 ↑ (122°)","16:26 ↑ (238°)","8:35:58","kyiv"
2016,1,"19","7:49 ↑ (122°)","16:27 ↑ (238°)","8:38:27","kyiv"
2016,1,"20","7:48 ↑ (122°)","16:29 ↑ (238°)","8:40:59","kyiv"
2016,1,"21","7:47 ↑ (121°)","16:31 ↑ (239°)","8:43:36","kyiv"
2016,1,"22","7:46 ↑ (121°)","16:32 ↑ (239°)","8:46:16","kyiv"
2016,1,"23","7:45 ↑ (121°)","16:34 ↑ (240°)","8:48:59","kyiv"
2016,1,"24","7:44 ↑ (120°)","16:35 ↑ (240°)","8:51:46","kyiv"
2016,1,"25","7:43 ↑ (120°)","16:37 ↑ (240°)","8:54:35","kyiv"
2016,1,"26","7:41 ↑ (119°)","16:39 ↑ (241°)","8:57:29","kyiv"
2016,1,"27","7:40 ↑ (119°)","16:41 ↑ (241°)","9:00:25","kyiv"
2016,1,"28","7:39 ↑ (118°)","16:42 ↑ (242°)","9:03:24","kyiv"
2016,1,"29","7:37 ↑ (118°)","16:44 ↑ (242°)","9:06:26","kyiv"
2016,1,"30","7:36 ↑ (118°)","16:46 ↑ (243°)","9:09:31","kyiv"
2016,1,"31","7:35 ↑ (117°)","16:47 ↑ (243°)","9:12:38","kyiv"
2016,2,"1","7:33 ↑ (117°)","16:49 ↑ (244°)","9:15:47","kyiv"
2016,2,"2","7:32 ↑ (116°)","16:51 ↑ (244°)","9:18:59","kyiv"
2016,2,"3","7:30 ↑ (116°)","16:53 ↑ (245°)","9:22:13","kyiv"
2016,2,"4","7:29 ↑ (115°)","16:54 ↑ (245°)","9:25:30","kyiv"
2016,2,"5","7:27 ↑ (115°)","16:56 ↑ (246°)","9:28:48","kyiv"
2016,2,"6","7:26 ↑ (114°)","16:58 ↑ (246°)","9:32:09","kyiv"
2016,2,"7","7:24 ↑ (114°)","17:00 ↑ (247°)","9:35:31","kyiv"
2016,2,"8","7:22 ↑ (113°)","17:01 ↑ (247°)","9:38:56","kyiv"
2016,2,"9","7:21 ↑ (113°)","17:03 ↑ (248°)","9:42:21","kyiv"
2016,2,"10","7:19 ↑ (112°)","17:05 ↑ (248°)","9:45:48","kyiv"
2016,2,"11","7:17 ↑ (112°)","17:07 ↑ (249°)","9:49:17","kyiv"
2016,2,"12","7:16 ↑ (111°)","17:08 ↑ (249°)","9:52:47","kyiv"
2016,2,"13","7:14 ↑ (110°)","17:10 ↑ (250°)","9:56:19","kyiv"
2016,2,"14","7:12 ↑ (110°)","17:12 ↑ (250°)","9:59:52","kyiv"
2016,2,"15","7:10 ↑ (109°)","17:14 ↑ (251°)","10:03:27","kyiv"
2016,2,"16","7:08 ↑ (109°)","17:15 ↑ (251°)","10:07:02","kyiv"
2016,2,"17","7:07 ↑ (108°)","17:17 ↑ (252°)","10:10:38","kyiv"
2016,2,"18","7:05 ↑ (108°)","17:19 ↑ (253°)","10:14:16","kyiv"
2016,2,"19","7:03 ↑ (107°)","17:21 ↑ (253°)","10:17:54","kyiv"
2016,2,"20","7:01 ↑ (107°)","17:22 ↑ (254°)","10:21:33","kyiv"
2016,2,"21","6:59 ↑ (106°)","17:24 ↑ (254°)","10:25:13","kyiv"
2016,2,"22","6:57 ↑ (105°)","17:26 ↑ (255°)","10:28:55","kyiv"
2016,2,"23","6:55 ↑ (105°)","17:28 ↑ (255°)","10:32:36","kyiv"
2016,2,"24","6:53 ↑ (104°)","17:29 ↑ (256°)","10:36:19","kyiv"
2016,2,"25","6:51 ↑ (104°)","17:31 ↑ (257°)","10:40:02","kyiv"
2016,2,"26","6:49 ↑ (103°)","17:33 ↑ (257°)","10:43:46","kyiv"
2016,2,"27","6:47 ↑ (102°)","17:34 ↑ (258°)","10:47:30","kyiv"
2016,2,"28","6:45 ↑ (102°)","17:36 ↑ (258°)","10:51:15","kyiv"
2016,2,"29","6:43 ↑ (101°)","17:38 ↑ (259°)","10:55:01","kyiv"
2016,3,"1","6:41 ↑ (101°)","17:39 ↑ (260°)","10:58:48","kyiv"
2016,3,"2","6:39 ↑ (100°)","17:41 ↑ (260°)","11:02:34","kyiv"
2016,3,"3","6:37 ↑ (99°)","17:43 ↑ (261°)","11:06:21","kyiv"
2016,3,"4","6:34 ↑ (99°)","17:45 ↑ (261°)","11:10:08","kyiv"
2016,3,"5","6:32 ↑ (98°)","17:46 ↑ (262°)","11:13:55","kyiv"
2016,3,"6","6:30 ↑ (98°)","17:48 ↑ (263°)","11:17:43","kyiv"
2016,3,"7","6:28 ↑ (97°)","17:50 ↑ (263°)","11:21:32","kyiv"
2016,3,"8","6:26 ↑ (96°)","17:51 ↑ (264°)","11:25:20","kyiv"
2016,3,"9","6:24 ↑ (96°)","17:53 ↑ (264°)","11:29:09","kyiv"
2016,3,"10","6:22 ↑ (95°)","17:55 ↑ (265°)","11:32:57","kyiv"
2016,3,"11","6:19 ↑ (95°)","17:56 ↑ (266°)","11:36:46","kyiv"
2016,3,"12","6:17 ↑ (94°)","17:58 ↑ (266°)","11:40:36","kyiv"
2016,3,"13","6:15 ↑ (93°)","17:59 ↑ (267°)","11:44:24","kyiv"
2016,3,"14","6:13 ↑ (93°)","18:01 ↑ (268°)","11:48:14","kyiv"
2016,3,"15","6:11 ↑ (92°)","18:03 ↑ (268°)","11:52:04","kyiv"
2016,3,"16","6:08 ↑ (91°)","18:04 ↑ (269°)","11:55:53","kyiv"
2016,3,"17","6:06 ↑ (91°)","18:06 ↑ (269°)","11:59:42","kyiv"
2016,3,"18","6:04 ↑ (90°)","18:08 ↑ (270°)","12:03:32","kyiv"
2016,3,"19","6:02 ↑ (90°)","18:09 ↑ (271°)","12:07:22","kyiv"
2016,3,"20","6:00 ↑ (89°)","18:11 ↑ (271°)","12:11:11","kyiv"
2016,3,"21","5:57 ↑ (88°)","18:12 ↑ (272°)","12:15:00","kyiv"
2016,3,"22","5:55 ↑ (88°)","18:14 ↑ (273°)","12:18:50","kyiv"
2016,3,"23","5:53 ↑ (87°)","18:16 ↑ (273°)","12:22:38","kyiv"
2016,3,"24","5:51 ↑ (87°)","18:17 ↑ (274°)","12:26:28","kyiv"
2016,3,"25","5:49 ↑ (86°)","18:19 ↑ (274°)","12:30:17","kyiv"
2016,3,"26","5:46 ↑ (85°)","18:21 ↑ (275°)","12:34:06","kyiv"
2016,3,"27","6:44 ↑ (85°)","19:22 ↑ (276°)","12:37:54","kyiv"
2016,3,"28","6:42 ↑ (84°)","19:24 ↑ (276°)","12:41:43","kyiv"
2016,3,"29","6:40 ↑ (83°)","19:25 ↑ (277°)","12:45:31","kyiv"
2016,3,"30","6:38 ↑ (83°)","19:27 ↑ (277°)","12:49:19","kyiv"
2016,3,"31","6:35 ↑ (82°)","19:29 ↑ (278°)","12:53:06","kyiv"
2016,4,"1","6:33 ↑ (82°)","19:30 ↑ (279°)","12:56:54","kyiv"
2016,4,"2","6:31 ↑ (81°)","19:32 ↑ (279°)","13:00:41","kyiv"
2016,4,"3","6:29 ↑ (80°)","19:33 ↑ (280°)","13:04:28","kyiv"
2016,4,"4","6:27 ↑ (80°)","19:35 ↑ (281°)","13:08:14","kyiv"
2016,4,"5","6:25 ↑ (79°)","19:37 ↑ (281°)","13:12:00","kyiv"
2016,4,"6","6:22 ↑ (79°)","19:38 ↑ (282°)","13:15:46","kyiv"
2016,4,"7","6:20 ↑ (78°)","19:40 ↑ (282°)","13:19:31","kyiv"
2016,4,"8","6:18 ↑ (77°)","19:41 ↑ (283°)","13:23:16","kyiv"
2016,4,"9","6:16 ↑ (77°)","19:43 ↑ (284°)","13:27:01","kyiv"
2016,4,"10","6:14 ↑ (76°)","19:45 ↑ (284°)","13:30:44","kyiv"
2016,4,"11","6:12 ↑ (76°)","19:46 ↑ (285°)","13:34:28","kyiv"
2016,4,"12","6:10 ↑ (75°)","19:48 ↑ (285°)","13:38:10","kyiv"
2016,4,"13","6:07 ↑ (74°)","19:49 ↑ (286°)","13:41:52","kyiv"
2016,4,"14","6:05 ↑ (74°)","19:51 ↑ (286°)","13:45:34","kyiv"
2016,4,"15","6:03 ↑ (73°)","19:53 ↑ (287°)","13:49:13","kyiv"
2016,4,"16","6:01 ↑ (73°)","19:54 ↑ (288°)","13:52:53","kyiv"
2016,4,"17","5:59 ↑ (72°)","19:56 ↑ (288°)","13:56:33","kyiv"
2016,4,"18","5:57 ↑ (72°)","19:57 ↑ (289°)","14:00:10","kyiv"
2016,4,"19","5:55 ↑ (71°)","19:59 ↑ (289°)","14:03:48","kyiv"
2016,4,"20","5:53 ↑ (70°)","20:00 ↑ (290°)","14:07:23","kyiv"
2016,4,"21","5:51 ↑ (70°)","20:02 ↑ (290°)","14:10:59","kyiv"
2016,4,"22","5:49 ↑ (69°)","20:04 ↑ (291°)","14:14:33","kyiv"
2016,4,"23","5:47 ↑ (69°)","20:05 ↑ (291°)","14:18:06","kyiv"
2016,4,"24","5:45 ↑ (68°)","20:07 ↑ (292°)","14:21:38","kyiv"
2016,4,"25","5:43 ↑ (68°)","20:08 ↑ (293°)","14:25:08","kyiv"
