"year","month","day","start","end","length","city"
2016,1,"1","7:40 ↑ (124°)","16:19 ↑ (236°)","8:39:09","odesa"
2016,1,"2","7:40 ↑ (123°)","16:20 ↑ (237°)","8:40:03","odesa"
2016,1,"3","7:40 ↑ (123°)","16:21 ↑ (237°)","8:41:03","odesa"
2016,1,"4","7:40 ↑ (123°)","16:22 ↑ (237°)","8:42:07","odesa"
2016,1,"5","7:40 ↑ (123°)","16:23 ↑ (237°)","8:43:15","odesa"
2016,1,"6","7:40 ↑ (123°)","16:24 ↑ (237°)","8:44:29","odesa"
2016,1,"7","7:40 ↑ (123°)","16:26 ↑ (237°)","8:45:47","odesa"
2016,1,"8","7:40 ↑ (122°)","16:27 ↑ (238°)","8:47:10","odesa"
2016,1,"9","7:39 ↑ (122°)","16:28 ↑ (238°)","8:48:36","odesa"
2016,1,"10","7:39 ↑ (122°)","16:29 ↑ (238°)","8:50:08","odesa"
2016,1,"11","7:39 ↑ (122°)","16:30 ↑ (238°)","8:51:43","odesa"
2016,1,"12","7:38 ↑ (121°)","16:31 ↑ (239°)","8:53:22","odesa"
2016,1,"13","7:38 ↑ (121°)","16:33 ↑ (239°)","8:55:06","odesa"
2016,1,"14","7:37 ↑ (121°)","16:34 ↑ (239°)","8:56:53","odesa"
2016,1,"15","7:37 ↑ (121°)","16:35 ↑ (239°)","8:58:45","odesa"
2016,1,"16","7:36 ↑ (120°)","16:37 ↑ (240°)","9:00:40","odesa"
2016,1,"17","7:35 ↑ (120°)","16:38 ↑ (240°)","9:02:39","odesa"
2016,1,"18","7:35 ↑ (120°)","16:39 ↑ (240°)","9:04:41","odesa"
2016,1,"19","7:34 ↑ (119°)","16:41 ↑ (241°)","9:06:47","odesa"
2016,1,"20","7:33 ↑ (119°)","16:42 ↑ (241°)","9:08:56","odesa"
2016,1,"21","7:32 ↑ (119°)","16:43 ↑ (241°)","9:11:08","odesa"
2016,1,"22","7:32 ↑ (118°)","16:45 ↑ (242°)","9:13:24","odesa"
2016,1,"23","7:31 ↑ (118°)","16:46 ↑ (242°)","9:15:42","odesa"
2016,1,"24","7:30 ↑ (118°)","16:48 ↑ (242°)","9:18:05","odesa"
2016,1,"25","7:29 ↑ (117°)","16:49 ↑ (243°)","9:20:29","odesa"
2016,1,"26","7:28 ↑ (117°)","16:51 ↑ (243°)","9:22:56","odesa"
2016,1,"27","7:27 ↑ (117°)","16:52 ↑ (244°)","9:25:26","odesa"
2016,1,"28","7:26 ↑ (116°)","16:54 ↑ (244°)","9:27:59","odesa"
2016,1,"29","7:25 ↑ (116°)","16:55 ↑ (244°)","9:30:34","odesa"
2016,1,"30","7:23 ↑ (115°)","16:57 ↑ (245°)","9:33:11","odesa"
2016,1,"31","7:22 ↑ (115°)","16:58 ↑ (245°)","9:35:51","odesa"
2016,2,"1","7:21 ↑ (115°)","17:00 ↑ (246°)","9:38:33","odesa"
2016,2,"2","7:20 ↑ (114°)","17:01 ↑ (246°)","9:41:16","odesa"
2016,2,"3","7:19 ↑ (114°)","17:03 ↑ (247°)","9:44:03","odesa"
2016,2,"4","7:17 ↑ (113°)","17:04 ↑ (247°)","9:46:51","odesa"
2016,2,"5","7:16 ↑ (113°)","17:06 ↑ (247°)","9:49:41","odesa"
2016,2,"6","7:15 ↑ (112°)","17:07 ↑ (248°)","9:52:33","odesa"
2016,2,"7","7:13 ↑ (112°)","17:09 ↑ (248°)","9:55:27","odesa"
2016,2,"8","7:12 ↑ (111°)","17:10 ↑ (249°)","9:58:22","odesa"
2016,2,"9","7:10 ↑ (111°)","17:12 ↑ (249°)","10:01:19","odesa"
2016,2,"10","7:09 ↑ (110°)","17:13 ↑ (250°)","10:04:17","odesa"
2016,2,"11","7:07 ↑ (110°)","17:15 ↑ (250°)","10:07:16","odesa"
2016,2,"12","7:06 ↑ (109°)","17:16 ↑ (251°)","10:10:18","odesa"
2016,2,"13","7:04 ↑ (109°)","17:18 ↑ (251°)","10:13:19","odesa"
2016,2,"14","7:03 ↑ (108°)","17:19 ↑ (252°)","10:16:23","odesa"
2016,2,"15","7:01 ↑ (108°)","17:21 ↑ (252°)","10:19:27","odesa"
2016,2,"16","7:00 ↑ (107°)","17:22 ↑ (253°)","10:22:33","odesa"
2016,2,"17","6:58 ↑ (107°)","17:24 ↑ (253°)","10:25:40","odesa"
2016,2,"18","6:56 ↑ (106°)","17:25 ↑ (254°)","10:28:48","odesa"
2016,2,"19","6:55 ↑ (106°)","17:27 ↑ (254°)","10:31:56","odesa"
2016,2,"20","6:53 ↑ (105°)","17:28 ↑ (255°)","10:35:06","odesa"
2016,2,"21","6:51 ↑ (105°)","17:30 ↑ (255°)","10:38:16","odesa"
2016,2,"22","6:50 ↑ (104°)","17:31 ↑ (256°)","10:41:28","odesa"
2016,2,"23","6:48 ↑ (104°)","17:33 ↑ (256°)","10:44:39","odesa"
2016,2,"24","6:46 ↑ (103°)","17:34 ↑ (257°)","10:47:52","odesa"
2016,2,"25","6:45 ↑ (103°)","17:36 ↑ (258°)","10:51:05","odesa"
2016,2,"26","6:43 ↑ (102°)","17:37 ↑ (258°)","10:54:20","odesa"
2016,2,"27","6:41 ↑ (102°)","17:39 ↑ (259°)","10:57:34","odesa"
2016,2,"28","6:39 ↑ (101°)","17:40 ↑ (259°)","11:00:49","odesa"
2016,2,"29","6:37 ↑ (100°)","17:41 ↑ (260°)","11:04:05","odesa"
2016,3,"1","6:36 ↑ (100°)","17:43 ↑ (260°)","11:07:21","odesa"
2016,3,"2","6:34 ↑ (99°)","17:44 ↑ (261°)","11:10:38","odesa"
2016,3,"3","6:32 ↑ (99°)","17:46 ↑ (261°)","11:13:54","odesa"
2016,3,"4","6:30 ↑ (98°)","17:47 ↑ (262°)","11:17:12","odesa"
2016,3,"5","6:28 ↑ (98°)","17:49 ↑ (263°)","11:20:29","odesa"
2016,3,"6","6:26 ↑ (97°)","17:50 ↑ (263°)","11:23:48","odesa"
2016,3,"7","6:24 ↑ (97°)","17:51 ↑ (264°)","11:27:06","odesa"
2016,3,"8","6:22 ↑ (96°)","17:53 ↑ (264°)","11:30:24","odesa"
2016,3,"9","6:21 ↑ (95°)","17:54 ↑ (265°)","11:33:43","odesa"
2016,3,"10","6:19 ↑ (95°)","17:56 ↑ (265°)","11:37:02","odesa"
2016,3,"11","6:17 ↑ (94°)","17:57 ↑ (266°)","11:40:21","odesa"
2016,3,"12","6:15 ↑ (94°)","17:58 ↑ (267°)","11:43:40","odesa"
2016,3,"13","6:13 ↑ (93°)","18:00 ↑ (267°)","11:47:00","odesa"
2016,3,"14","6:11 ↑ (93°)","18:01 ↑ (268°)","11:50:19","odesa"
2016,3,"15","6:09 ↑ (92°)","18:03 ↑ (268°)","11:53:39","odesa"
2016,3,"16","6:07 ↑ (91°)","18:04 ↑ (269°)","11:56:59","odesa"
2016,3,"17","6:05 ↑ (91°)","18:05 ↑ (269°)","12:00:18","odesa"
2016,3,"18","6:03 ↑ (90°)","18:07 ↑ (270°)","12:03:38","odesa"
2016,3,"19","6:01 ↑ (90°)","18:08 ↑ (271°)","12:06:57","odesa"
2016,3,"20","5:59 ↑ (89°)","18:09 ↑ (271°)","12:10:16","odesa"
2016,3,"21","5:57 ↑ (89°)","18:11 ↑ (272°)","12:13:36","odesa"
2016,3,"22","5:55 ↑ (88°)","18:12 ↑ (272°)","12:16:56","odesa"
2016,3,"23","5:53 ↑ (87°)","18:14 ↑ (273°)","12:20:15","odesa"
2016,3,"24","5:51 ↑ (87°)","18:15 ↑ (273°)","12:23:34","odesa"
2016,3,"25","5:49 ↑ (86°)","18:16 ↑ (274°)","12:26:54","odesa"
2016,3,"26","5:47 ↑ (86°)","18:18 ↑ (275°)","12:30:12","odesa"
2016,3,"27","6:45 ↑ (85°)","19:19 ↑ (275°)","12:33:32","odesa"
2016,3,"28","6:44 ↑ (85°)","19:20 ↑ (276°)","12:36:50","odesa"
2016,3,"29","6:42 ↑ (84°)","19:22 ↑ (276°)","12:40:08","odesa"
2016,3,"30","6:40 ↑ (83°)","19:23 ↑ (277°)","12:43:26","odesa"
2016,3,"31","6:38 ↑ (83°)","19:24 ↑ (277°)","12:46:44","odesa"
2016,4,"1","6:36 ↑ (82°)","19:26 ↑ (278°)","12:50:02","odesa"
2016,4,"2","6:34 ↑ (82°)","19:27 ↑ (279°)","12:53:19","odesa"
2016,4,"3","6:32 ↑ (81°)","19:28 ↑ (279°)","12:56:36","odesa"
2016,4,"4","6:30 ↑ (81°)","19:30 ↑ (280°)","12:59:52","odesa"
2016,4,"5","6:28 ↑ (80°)","19:31 ↑ (280°)","13:03:09","odesa"
2016,4,"6","6:26 ↑ (80°)","19:33 ↑ (281°)","13:06:24","odesa"
2016,4,"7","6:24 ↑ (79°)","19:34 ↑ (281°)","13:09:40","odesa"
2016,4,"8","6:22 ↑ (78°)","19:35 ↑ (282°)","13:12:55","odesa"
2016,4,"9","6:20 ↑ (78°)","19:37 ↑ (282°)","13:16:09","odesa"
2016,4,"10","6:19 ↑ (77°)","19:38 ↑ (283°)","13:19:23","odesa"
2016,4,"11","6:17 ↑ (77°)","19:39 ↑ (284°)","13:22:36","odesa"
2016,4,"12","6:15 ↑ (76°)","19:41 ↑ (284°)","13:25:49","odesa"
2016,4,"13","6:13 ↑ (76°)","19:42 ↑ (285°)","13:29:01","odesa"
2016,4,"14","6:11 ↑ (75°)","19:43 ↑ (285°)","13:32:13","odesa"
2016,4,"15","6:09 ↑ (75°)","19:45 ↑ (286°)","13:35:24","odesa"
2016,4,"16","6:07 ↑ (74°)","19:46 ↑ (286°)","13:38:33","odesa"
2016,4,"17","6:06 ↑ (74°)","19:47 ↑ (287°)","13:41:42","odesa"
