"year","month","day","start","end","length","city"
2016,1,"1","7:28 ↑ (125°)","15:51 ↑ (235°)","8:22:39","pavlograd"
2016,1,"2","7:28 ↑ (125°)","15:52 ↑ (235°)","8:23:39","pavlograd"
2016,1,"3","7:28 ↑ (125°)","15:53 ↑ (235°)","8:24:44","pavlograd"
2016,1,"4","7:28 ↑ (125°)","15:54 ↑ (235°)","8:25:54","pavlograd"
2016,1,"5","7:28 ↑ (124°)","15:55 ↑ (236°)","8:27:09","pavlograd"
2016,1,"6","7:27 ↑ (124°)","15:56 ↑ (236°)","8:28:29","pavlograd"
2016,1,"7","7:27 ↑ (124°)","15:57 ↑ (236°)","8:29:54","pavlograd"
2016,1,"8","7:27 ↑ (124°)","15:58 ↑ (236°)","8:31:24","pavlograd"
2016,1,"9","7:27 ↑ (124°)","16:00 ↑ (236°)","8:32:58","pavlograd"
2016,1,"10","7:26 ↑ (123°)","16:01 ↑ (237°)","8:34:38","pavlograd"
2016,1,"11","7:26 ↑ (123°)","16:02 ↑ (237°)","8:36:22","pavlograd"
2016,1,"12","7:25 ↑ (123°)","16:03 ↑ (237°)","8:38:11","pavlograd"
2016,1,"13","7:25 ↑ (123°)","16:05 ↑ (238°)","8:40:04","pavlograd"
2016,1,"14","7:24 ↑ (122°)","16:06 ↑ (238°)","8:42:01","pavlograd"
2016,1,"15","7:23 ↑ (122°)","16:07 ↑ (238°)","8:44:02","pavlograd"
2016,1,"16","7:23 ↑ (122°)","16:09 ↑ (238°)","8:46:07","pavlograd"
2016,1,"17","7:22 ↑ (121°)","16:10 ↑ (239°)","8:48:17","pavlograd"
2016,1,"18","7:21 ↑ (121°)","16:12 ↑ (239°)","8:50:31","pavlograd"
2016,1,"19","7:20 ↑ (121°)","16:13 ↑ (239°)","8:52:47","pavlograd"
2016,1,"20","7:20 ↑ (120°)","16:15 ↑ (240°)","8:55:07","pavlograd"
2016,1,"21","7:19 ↑ (120°)","16:16 ↑ (240°)","8:57:31","pavlograd"
2016,1,"22","7:18 ↑ (120°)","16:18 ↑ (240°)","8:59:59","pavlograd"
2016,1,"23","7:17 ↑ (119°)","16:19 ↑ (241°)","9:02:30","pavlograd"
2016,1,"24","7:16 ↑ (119°)","16:21 ↑ (241°)","9:05:03","pavlograd"
2016,1,"25","7:15 ↑ (119°)","16:22 ↑ (242°)","9:07:40","pavlograd"
2016,1,"26","7:14 ↑ (118°)","16:24 ↑ (242°)","9:10:20","pavlograd"
2016,1,"27","7:12 ↑ (118°)","16:25 ↑ (242°)","9:13:03","pavlograd"
2016,1,"28","7:11 ↑ (117°)","16:27 ↑ (243°)","9:15:49","pavlograd"
2016,1,"29","7:10 ↑ (117°)","16:29 ↑ (243°)","9:18:36","pavlograd"
2016,1,"30","7:09 ↑ (116°)","16:30 ↑ (244°)","9:21:27","pavlograd"
2016,1,"31","7:07 ↑ (116°)","16:32 ↑ (244°)","9:24:20","pavlograd"
2016,2,"1","7:06 ↑ (116°)","16:33 ↑ (245°)","9:27:16","pavlograd"
2016,2,"2","7:05 ↑ (115°)","16:35 ↑ (245°)","9:30:14","pavlograd"
2016,2,"3","7:03 ↑ (115°)","16:37 ↑ (246°)","9:33:13","pavlograd"
2016,2,"4","7:02 ↑ (114°)","16:38 ↑ (246°)","9:36:15","pavlograd"
