"year","month","day","start","end","length","city"
2016,1,"1","8:21 ↑ (123°)","17:12 ↑ (237°)","8:50:35","simferopol"
2016,1,"2","8:21 ↑ (122°)","17:13 ↑ (238°)","8:51:25","simferopol"
2016,1,"3","8:21 ↑ (122°)","17:14 ↑ (238°)","8:52:21","simferopol"
2016,1,"4","8:21 ↑ (122°)","17:15 ↑ (238°)","8:53:21","simferopol"
2016,1,"5","8:21 ↑ (122°)","17:16 ↑ (238°)","8:54:25","simferopol"
2016,1,"6","8:21 ↑ (122°)","17:17 ↑ (238°)","8:55:34","simferopol"
2016,1,"7","8:21 ↑ (122°)","17:18 ↑ (238°)","8:56:47","simferopol"
2016,1,"8","8:21 ↑ (121°)","17:19 ↑ (239°)","8:58:05","simferopol"
2016,1,"9","8:20 ↑ (121°)","17:20 ↑ (239°)","8:59:25","simferopol"
2016,1,"10","8:20 ↑ (121°)","17:21 ↑ (239°)","9:00:51","simferopol"
2016,1,"11","8:20 ↑ (121°)","17:22 ↑ (239°)","9:02:21","simferopol"
2016,1,"12","8:19 ↑ (121°)","17:23 ↑ (240°)","9:03:54","simferopol"
2016,1,"13","8:19 ↑ (120°)","17:24 ↑ (240°)","9:05:32","simferopol"
2016,1,"14","8:18 ↑ (120°)","17:26 ↑ (240°)","9:07:12","simferopol"
2016,1,"15","8:18 ↑ (120°)","17:27 ↑ (240°)","9:08:56","simferopol"
2016,1,"16","8:17 ↑ (120°)","17:28 ↑ (241°)","9:10:45","simferopol"
2016,1,"17","8:17 ↑ (119°)","17:29 ↑ (241°)","9:12:37","simferopol"
2016,1,"18","8:16 ↑ (119°)","17:31 ↑ (241°)","9:14:31","simferopol"
2016,1,"19","8:16 ↑ (119°)","17:32 ↑ (241°)","9:16:29","simferopol"
2016,1,"20","8:15 ↑ (118°)","17:33 ↑ (242°)","9:18:31","simferopol"
2016,1,"21","8:14 ↑ (118°)","17:35 ↑ (242°)","9:20:35","simferopol"
2016,1,"22","8:13 ↑ (118°)","17:36 ↑ (242°)","9:22:43","simferopol"
2016,1,"23","8:13 ↑ (117°)","17:37 ↑ (243°)","9:24:53","simferopol"
2016,1,"24","8:12 ↑ (117°)","17:39 ↑ (243°)","9:27:06","simferopol"
2016,1,"25","8:11 ↑ (117°)","17:40 ↑ (244°)","9:29:22","simferopol"
2016,1,"26","8:10 ↑ (116°)","17:42 ↑ (244°)","9:31:41","simferopol"
2016,1,"27","8:09 ↑ (116°)","17:43 ↑ (244°)","9:34:02","simferopol"
2016,1,"28","8:08 ↑ (115°)","17:44 ↑ (245°)","9:36:26","simferopol"
2016,1,"29","8:07 ↑ (115°)","17:46 ↑ (245°)","9:38:51","simferopol"
2016,1,"30","8:06 ↑ (115°)","17:47 ↑ (245°)","9:41:20","simferopol"
2016,1,"31","8:05 ↑ (114°)","17:49 ↑ (246°)","9:43:50","simferopol"
2016,2,"1","8:04 ↑ (114°)","17:50 ↑ (246°)","9:46:23","simferopol"
2016,2,"2","8:02 ↑ (113°)","17:51 ↑ (247°)","9:48:57","simferopol"
2016,2,"3","8:01 ↑ (113°)","17:53 ↑ (247°)","9:51:34","simferopol"
