"year","month","day","start","end","length","city"
2016,1,"1","8:14 ↑ (126°)","16:27 ↑ (234°)","8:13:45","ternopil"
2016,1,"2","8:14 ↑ (126°)","16:28 ↑ (234°)","8:14:47","ternopil"
2016,1,"3","8:13 ↑ (126°)","16:29 ↑ (234°)","8:15:55","ternopil"
2016,1,"4","8:13 ↑ (125°)","16:30 ↑ (235°)","8:17:09","ternopil"
2016,1,"5","8:13 ↑ (125°)","16:32 ↑ (235°)","8:18:28","ternopil"
2016,1,"6","8:13 ↑ (125°)","16:33 ↑ (235°)","8:19:52","ternopil"
2016,1,"7","8:13 ↑ (125°)","16:34 ↑ (235°)","8:21:20","ternopil"
2016,1,"8","8:12 ↑ (125°)","16:35 ↑ (235°)","8:22:55","ternopil"
2016,1,"9","8:12 ↑ (124°)","16:36 ↑ (236°)","8:24:35","ternopil"
2016,1,"10","8:11 ↑ (124°)","16:38 ↑ (236°)","8:26:19","ternopil"
2016,1,"11","8:11 ↑ (124°)","16:39 ↑ (236°)","8:28:07","ternopil"
2016,1,"12","8:10 ↑ (124°)","16:40 ↑ (236°)","8:30:01","ternopil"
2016,1,"13","8:10 ↑ (123°)","16:42 ↑ (237°)","8:32:00","ternopil"
2016,1,"14","8:09 ↑ (123°)","16:43 ↑ (237°)","8:34:02","ternopil"
2016,1,"15","8:08 ↑ (123°)","16:45 ↑ (237°)","8:36:09","ternopil"
2016,1,"16","8:08 ↑ (122°)","16:46 ↑ (238°)","8:38:20","ternopil"
2016,1,"17","8:07 ↑ (122°)","16:48 ↑ (238°)","8:40:36","ternopil"
2016,1,"18","8:06 ↑ (122°)","16:49 ↑ (238°)","8:42:55","ternopil"
2016,1,"19","8:05 ↑ (121°)","16:51 ↑ (239°)","8:45:18","ternopil"
2016,1,"20","8:04 ↑ (121°)","16:52 ↑ (239°)","8:47:45","ternopil"
2016,1,"21","8:03 ↑ (121°)","16:54 ↑ (239°)","8:50:15","ternopil"
2016,1,"22","8:02 ↑ (120°)","16:55 ↑ (240°)","8:52:50","ternopil"
2016,1,"23","8:01 ↑ (120°)","16:57 ↑ (240°)","8:55:28","ternopil"
2016,1,"24","8:00 ↑ (120°)","16:58 ↑ (241°)","8:58:07","ternopil"
2016,1,"25","7:59 ↑ (119°)","17:00 ↑ (241°)","9:00:52","ternopil"
2016,1,"26","7:58 ↑ (119°)","17:02 ↑ (241°)","9:03:38","ternopil"
2016,1,"27","7:57 ↑ (118°)","17:03 ↑ (242°)","9:06:28","ternopil"
2016,1,"28","7:56 ↑ (118°)","17:05 ↑ (242°)","9:09:21","ternopil"
2016,1,"29","7:54 ↑ (117°)","17:07 ↑ (243°)","9:12:16","ternopil"
2016,1,"30","7:53 ↑ (117°)","17:08 ↑ (243°)","9:15:14","ternopil"
2016,1,"31","7:52 ↑ (117°)","17:10 ↑ (244°)","9:18:15","ternopil"
2016,2,"1","7:50 ↑ (116°)","17:12 ↑ (244°)","9:21:18","ternopil"
2016,2,"2","7:49 ↑ (116°)","17:13 ↑ (245°)","9:24:23","ternopil"
2016,2,"3","7:47 ↑ (115°)","17:15 ↑ (245°)","9:27:30","ternopil"
2016,2,"4","7:46 ↑ (115°)","17:17 ↑ (246°)","9:30:40","ternopil"
2016,2,"5","7:44 ↑ (114°)","17:18 ↑ (246°)","9:33:51","ternopil"
2016,2,"6","7:43 ↑ (114°)","17:20 ↑ (246°)","9:37:05","ternopil"
2016,2,"7","7:41 ↑ (113°)","17:22 ↑ (247°)","9:40:20","ternopil"
2016,2,"8","7:40 ↑ (113°)","17:23 ↑ (247°)","9:43:38","ternopil"
2016,2,"9","7:38 ↑ (112°)","17:25 ↑ (248°)","9:46:56","ternopil"
2016,2,"10","7:37 ↑ (112°)","17:27 ↑ (249°)","9:50:16","ternopil"
2016,2,"11","7:35 ↑ (111°)","17:28 ↑ (249°)","9:53:38","ternopil"
2016,2,"12","7:33 ↑ (111°)","17:30 ↑ (250°)","9:57:02","ternopil"
2016,2,"13","7:31 ↑ (110°)","17:32 ↑ (250°)","10:00:26","ternopil"
2016,2,"14","7:30 ↑ (110°)","17:34 ↑ (251°)","10:03:52","ternopil"
2016,2,"15","7:28 ↑ (109°)","17:35 ↑ (251°)","10:07:19","ternopil"
2016,2,"16","7:26 ↑ (108°)","17:37 ↑ (252°)","10:10:48","ternopil"
2016,2,"17","7:24 ↑ (108°)","17:39 ↑ (252°)","10:14:17","ternopil"
2016,2,"18","7:23 ↑ (107°)","17:40 ↑ (253°)","10:17:47","ternopil"
2016,2,"19","7:21 ↑ (107°)","17:42 ↑ (253°)","10:21:19","ternopil"
2016,2,"20","7:19 ↑ (106°)","17:44 ↑ (254°)","10:24:50","ternopil"
2016,2,"21","7:17 ↑ (106°)","17:45 ↑ (255°)","10:28:23","ternopil"
2016,2,"22","7:15 ↑ (105°)","17:47 ↑ (255°)","10:31:57","ternopil"
2016,2,"23","7:13 ↑ (105°)","17:49 ↑ (256°)","10:35:32","ternopil"
2016,2,"24","7:11 ↑ (104°)","17:50 ↑ (256°)","10:39:08","ternopil"
2016,2,"25","7:09 ↑ (103°)","17:52 ↑ (257°)","10:42:44","ternopil"
2016,2,"26","7:07 ↑ (103°)","17:54 ↑ (257°)","10:46:20","ternopil"
2016,2,"27","7:05 ↑ (102°)","17:55 ↑ (258°)","10:49:58","ternopil"
2016,2,"28","7:03 ↑ (102°)","17:57 ↑ (259°)","10:53:35","ternopil"
2016,2,"29","7:01 ↑ (101°)","17:59 ↑ (259°)","10:57:13","ternopil"
2016,3,"1","6:59 ↑ (100°)","18:00 ↑ (260°)","11:00:52","ternopil"
2016,3,"2","6:57 ↑ (100°)","18:02 ↑ (260°)","11:04:32","ternopil"
2016,3,"3","6:55 ↑ (99°)","18:03 ↑ (261°)","11:08:11","ternopil"
2016,3,"4","6:53 ↑ (99°)","18:05 ↑ (262°)","11:11:52","ternopil"
2016,3,"5","6:51 ↑ (98°)","18:07 ↑ (262°)","11:15:33","ternopil"
2016,3,"6","6:49 ↑ (98°)","18:08 ↑ (263°)","11:19:13","ternopil"
2016,3,"7","6:47 ↑ (97°)","18:10 ↑ (263°)","11:22:54","ternopil"
2016,3,"8","6:45 ↑ (96°)","18:12 ↑ (264°)","11:26:36","ternopil"
2016,3,"9","6:43 ↑ (96°)","18:13 ↑ (265°)","11:30:17","ternopil"
2016,3,"10","6:41 ↑ (95°)","18:15 ↑ (265°)","11:33:59","ternopil"
2016,3,"11","6:39 ↑ (94°)","18:16 ↑ (266°)","11:37:41","ternopil"
2016,3,"12","6:37 ↑ (94°)","18:18 ↑ (266°)","11:41:22","ternopil"
2016,3,"13","6:34 ↑ (93°)","18:19 ↑ (267°)","11:45:05","ternopil"
2016,3,"14","6:32 ↑ (93°)","18:21 ↑ (268°)","11:48:47","ternopil"
2016,3,"15","6:30 ↑ (92°)","18:23 ↑ (268°)","11:52:29","ternopil"
2016,3,"16","6:28 ↑ (91°)","18:24 ↑ (269°)","11:56:12","ternopil"
2016,3,"17","6:26 ↑ (91°)","18:26 ↑ (269°)","11:59:54","ternopil"
2016,3,"18","6:24 ↑ (90°)","18:27 ↑ (270°)","12:03:37","ternopil"
2016,3,"19","6:22 ↑ (90°)","18:29 ↑ (271°)","12:07:18","ternopil"
2016,3,"20","6:19 ↑ (89°)","18:30 ↑ (271°)","12:11:01","ternopil"
2016,3,"21","6:17 ↑ (88°)","18:32 ↑ (272°)","12:14:43","ternopil"
2016,3,"22","6:15 ↑ (88°)","18:34 ↑ (272°)","12:18:25","ternopil"
2016,3,"23","6:13 ↑ (87°)","18:35 ↑ (273°)","12:22:07","ternopil"
2016,3,"24","6:11 ↑ (87°)","18:37 ↑ (274°)","12:25:49","ternopil"
2016,3,"25","6:09 ↑ (86°)","18:38 ↑ (274°)","12:29:31","ternopil"
2016,3,"26","6:07 ↑ (85°)","18:40 ↑ (275°)","12:33:13","ternopil"
2016,3,"27","7:04 ↑ (85°)","19:41 ↑ (276°)","12:36:54","ternopil"
2016,3,"28","7:02 ↑ (84°)","19:43 ↑ (276°)","12:40:36","ternopil"
2016,3,"29","7:00 ↑ (84°)","19:44 ↑ (277°)","12:44:17","ternopil"
2016,3,"30","6:58 ↑ (83°)","19:46 ↑ (277°)","12:47:57","ternopil"
2016,3,"31","6:56 ↑ (82°)","19:47 ↑ (278°)","12:51:39","ternopil"
2016,4,"1","6:54 ↑ (82°)","19:49 ↑ (279°)","12:55:18","ternopil"
2016,4,"2","6:52 ↑ (81°)","19:51 ↑ (279°)","12:58:58","ternopil"
2016,4,"3","6:49 ↑ (81°)","19:52 ↑ (280°)","13:02:38","ternopil"
2016,4,"4","6:47 ↑ (80°)","19:54 ↑ (280°)","13:06:17","ternopil"
2016,4,"5","6:45 ↑ (79°)","19:55 ↑ (281°)","13:09:57","ternopil"
2016,4,"6","6:43 ↑ (79°)","19:57 ↑ (282°)","13:13:35","ternopil"
2016,4,"7","6:41 ↑ (78°)","19:58 ↑ (282°)","13:17:14","ternopil"
2016,4,"8","6:39 ↑ (78°)","20:00 ↑ (283°)","13:20:51","ternopil"
2016,4,"9","6:37 ↑ (77°)","20:01 ↑ (283°)","13:24:28","ternopil"
2016,4,"10","6:35 ↑ (76°)","20:03 ↑ (284°)","13:28:05","ternopil"
2016,4,"11","6:33 ↑ (76°)","20:04 ↑ (284°)","13:31:40","ternopil"
2016,4,"12","6:31 ↑ (75°)","20:06 ↑ (285°)","13:35:15","ternopil"
2016,4,"13","6:29 ↑ (75°)","20:07 ↑ (286°)","13:38:50","ternopil"
2016,4,"14","6:27 ↑ (74°)","20:09 ↑ (286°)","13:42:25","ternopil"
2016,4,"15","6:25 ↑ (74°)","20:11 ↑ (287°)","13:45:58","ternopil"
2016,4,"16","6:23 ↑ (73°)","20:12 ↑ (287°)","13:49:30","ternopil"
2016,4,"17","6:21 ↑ (73°)","20:14 ↑ (288°)","13:53:02","ternopil"
2016,4,"18","6:19 ↑ (72°)","20:15 ↑ (288°)","13:56:33","ternopil"
2016,4,"19","6:17 ↑ (71°)","20:17 ↑ (289°)","14:00:03","ternopil"
2016,4,"20","6:15 ↑ (71°)","20:18 ↑ (289°)","14:03:32","ternopil"
2016,4,"21","6:13 ↑ (70°)","20:20 ↑ (290°)","14:06:59","ternopil"
2016,4,"22","6:11 ↑ (70°)","20:21 ↑ (291°)","14:10:26","ternopil"
2016,4,"23","6:09 ↑ (69°)","20:23 ↑ (291°)","14:13:53","ternopil"
2016,4,"24","6:07 ↑ (69°)","20:24 ↑ (292°)","14:17:17","ternopil"
2016,4,"25","6:05 ↑ (68°)","20:26 ↑ (292°)","14:20:41","ternopil"
2016,4,"26","6:03 ↑ (68°)","20:27 ↑ (293°)","14:24:03","ternopil"
