"year","month","day","start","end","length","city"
2016,1,"1","8:23 ↑ (125°)","16:45 ↑ (235°)","8:21:52","uzhgorod"
2016,1,"2","8:23 ↑ (125°)","16:46 ↑ (235°)","8:22:52","uzhgorod"
2016,1,"3","8:23 ↑ (125°)","16:47 ↑ (235°)","8:23:57","uzhgorod"
2016,1,"4","8:23 ↑ (125°)","16:48 ↑ (235°)","8:25:07","uzhgorod"
2016,1,"5","8:22 ↑ (125°)","16:49 ↑ (236°)","8:26:23","uzhgorod"
2016,1,"6","8:22 ↑ (124°)","16:50 ↑ (236°)","8:27:43","uzhgorod"
2016,1,"7","8:22 ↑ (124°)","16:51 ↑ (236°)","8:29:09","uzhgorod"
2016,1,"8","8:22 ↑ (124°)","16:52 ↑ (236°)","8:30:40","uzhgorod"
2016,1,"9","8:21 ↑ (124°)","16:53 ↑ (236°)","8:32:15","uzhgorod"
2016,1,"10","8:21 ↑ (123°)","16:55 ↑ (237°)","8:33:56","uzhgorod"
2016,1,"11","8:20 ↑ (123°)","16:56 ↑ (237°)","8:35:40","uzhgorod"
2016,1,"12","8:20 ↑ (123°)","16:57 ↑ (237°)","8:37:29","uzhgorod"
2016,1,"13","8:19 ↑ (123°)","16:59 ↑ (237°)","8:39:23","uzhgorod"
2016,1,"14","8:19 ↑ (122°)","17:00 ↑ (238°)","8:41:20","uzhgorod"
2016,1,"15","8:18 ↑ (122°)","17:01 ↑ (238°)","8:43:23","uzhgorod"
2016,1,"16","8:17 ↑ (122°)","17:03 ↑ (238°)","8:45:28","uzhgorod"
2016,1,"17","8:17 ↑ (121°)","17:04 ↑ (239°)","8:47:39","uzhgorod"
2016,1,"18","8:16 ↑ (121°)","17:06 ↑ (239°)","8:49:52","uzhgorod"
2016,1,"19","8:15 ↑ (121°)","17:07 ↑ (239°)","8:52:10","uzhgorod"
2016,1,"20","8:14 ↑ (120°)","17:09 ↑ (240°)","8:54:31","uzhgorod"
2016,1,"21","8:13 ↑ (120°)","17:10 ↑ (240°)","8:56:56","uzhgorod"
2016,1,"22","8:12 ↑ (120°)","17:12 ↑ (240°)","8:59:24","uzhgorod"
2016,1,"23","8:11 ↑ (119°)","17:13 ↑ (241°)","9:01:56","uzhgorod"
2016,1,"24","8:10 ↑ (119°)","17:15 ↑ (241°)","9:04:31","uzhgorod"
2016,1,"25","8:09 ↑ (119°)","17:16 ↑ (242°)","9:07:08","uzhgorod"
2016,1,"26","8:08 ↑ (118°)","17:18 ↑ (242°)","9:09:48","uzhgorod"
2016,1,"27","8:07 ↑ (118°)","17:19 ↑ (242°)","9:12:32","uzhgorod"
2016,1,"28","8:06 ↑ (117°)","17:21 ↑ (243°)","9:15:19","uzhgorod"
2016,1,"29","8:05 ↑ (117°)","17:23 ↑ (243°)","9:18:08","uzhgorod"
2016,1,"30","8:03 ↑ (116°)","17:24 ↑ (244°)","9:20:59","uzhgorod"
2016,1,"31","8:02 ↑ (116°)","17:26 ↑ (244°)","9:23:53","uzhgorod"
2016,2,"1","8:01 ↑ (116°)","17:28 ↑ (245°)","9:26:49","uzhgorod"
2016,2,"2","7:59 ↑ (115°)","17:29 ↑ (245°)","9:29:48","uzhgorod"
2016,2,"3","7:58 ↑ (115°)","17:31 ↑ (246°)","9:32:47","uzhgorod"
2016,2,"4","7:57 ↑ (114°)","17:32 ↑ (246°)","9:35:51","uzhgorod"
2016,2,"5","7:55 ↑ (114°)","17:34 ↑ (246°)","9:38:56","uzhgorod"
2016,2,"6","7:54 ↑ (113°)","17:36 ↑ (247°)","9:42:02","uzhgorod"
2016,2,"7","7:52 ↑ (113°)","17:37 ↑ (247°)","9:45:11","uzhgorod"
2016,2,"8","7:51 ↑ (112°)","17:39 ↑ (248°)","9:48:20","uzhgorod"
2016,2,"9","7:49 ↑ (112°)","17:41 ↑ (248°)","9:51:32","uzhgorod"
2016,2,"10","7:48 ↑ (111°)","17:42 ↑ (249°)","9:54:45","uzhgorod"
2016,2,"11","7:46 ↑ (111°)","17:44 ↑ (249°)","9:58:00","uzhgorod"
2016,2,"12","7:44 ↑ (110°)","17:46 ↑ (250°)","10:01:16","uzhgorod"
2016,2,"13","7:43 ↑ (110°)","17:47 ↑ (250°)","10:04:33","uzhgorod"
2016,2,"14","7:41 ↑ (109°)","17:49 ↑ (251°)","10:07:53","uzhgorod"
2016,2,"15","7:39 ↑ (109°)","17:50 ↑ (252°)","10:11:13","uzhgorod"
2016,2,"16","7:38 ↑ (108°)","17:52 ↑ (252°)","10:14:33","uzhgorod"
2016,2,"17","7:36 ↑ (108°)","17:54 ↑ (253°)","10:17:56","uzhgorod"
2016,2,"18","7:34 ↑ (107°)","17:55 ↑ (253°)","10:21:19","uzhgorod"
2016,2,"19","7:32 ↑ (107°)","17:57 ↑ (254°)","10:24:43","uzhgorod"
2016,2,"20","7:30 ↑ (106°)","17:59 ↑ (254°)","10:28:08","uzhgorod"
2016,2,"21","7:29 ↑ (105°)","18:00 ↑ (255°)","10:31:34","uzhgorod"
2016,2,"22","7:27 ↑ (105°)","18:02 ↑ (255°)","10:35:00","uzhgorod"
2016,2,"23","7:25 ↑ (104°)","18:03 ↑ (256°)","10:38:29","uzhgorod"
2016,2,"24","7:23 ↑ (104°)","18:05 ↑ (257°)","10:41:56","uzhgorod"
2016,2,"25","7:21 ↑ (103°)","18:07 ↑ (257°)","10:45:25","uzhgorod"
2016,2,"26","7:19 ↑ (103°)","18:08 ↑ (258°)","10:48:54","uzhgorod"
2016,2,"27","7:17 ↑ (102°)","18:10 ↑ (258°)","10:52:25","uzhgorod"
2016,2,"28","7:15 ↑ (101°)","18:11 ↑ (259°)","10:55:55","uzhgorod"
2016,2,"29","7:13 ↑ (101°)","18:13 ↑ (259°)","10:59:27","uzhgorod"
2016,3,"1","7:12 ↑ (100°)","18:14 ↑ (260°)","11:02:58","uzhgorod"
2016,3,"2","7:10 ↑ (100°)","18:16 ↑ (261°)","11:06:30","uzhgorod"
2016,3,"3","7:08 ↑ (99°)","18:18 ↑ (261°)","11:10:03","uzhgorod"
2016,3,"4","7:06 ↑ (99°)","18:19 ↑ (262°)","11:13:36","uzhgorod"
2016,3,"5","7:04 ↑ (98°)","18:21 ↑ (262°)","11:17:09","uzhgorod"
2016,3,"6","7:02 ↑ (97°)","18:22 ↑ (263°)","11:20:42","uzhgorod"
2016,3,"7","7:00 ↑ (97°)","18:24 ↑ (263°)","11:24:16","uzhgorod"
2016,3,"8","6:58 ↑ (96°)","18:25 ↑ (264°)","11:27:51","uzhgorod"
2016,3,"9","6:55 ↑ (96°)","18:27 ↑ (265°)","11:31:25","uzhgorod"
2016,3,"10","6:53 ↑ (95°)","18:28 ↑ (265°)","11:34:59","uzhgorod"
2016,3,"11","6:51 ↑ (94°)","18:30 ↑ (266°)","11:38:34","uzhgorod"
2016,3,"12","6:49 ↑ (94°)","18:32 ↑ (266°)","11:42:09","uzhgorod"
2016,3,"13","6:47 ↑ (93°)","18:33 ↑ (267°)","11:45:44","uzhgorod"
2016,3,"14","6:45 ↑ (93°)","18:35 ↑ (268°)","11:49:19","uzhgorod"
2016,3,"15","6:43 ↑ (92°)","18:36 ↑ (268°)","11:52:54","uzhgorod"
2016,3,"16","6:41 ↑ (91°)","18:38 ↑ (269°)","11:56:30","uzhgorod"
2016,3,"17","6:39 ↑ (91°)","18:39 ↑ (269°)","12:00:04","uzhgorod"
2016,3,"18","6:37 ↑ (90°)","18:41 ↑ (270°)","12:03:39","uzhgorod"
2016,3,"19","6:35 ↑ (90°)","18:42 ↑ (271°)","12:07:14","uzhgorod"
2016,3,"20","6:33 ↑ (89°)","18:44 ↑ (271°)","12:10:50","uzhgorod"
2016,3,"21","6:31 ↑ (88°)","18:45 ↑ (272°)","12:14:25","uzhgorod"
2016,3,"22","6:29 ↑ (88°)","18:47 ↑ (272°)","12:17:59","uzhgorod"
2016,3,"23","6:26 ↑ (87°)","18:48 ↑ (273°)","12:21:35","uzhgorod"
2016,3,"24","6:24 ↑ (87°)","18:50 ↑ (274°)","12:25:09","uzhgorod"
2016,3,"25","6:22 ↑ (86°)","18:51 ↑ (274°)","12:28:44","uzhgorod"
2016,3,"26","6:20 ↑ (85°)","18:53 ↑ (275°)","12:32:19","uzhgorod"
2016,3,"27","7:18 ↑ (85°)","19:54 ↑ (275°)","12:35:53","uzhgorod"
2016,3,"28","7:16 ↑ (84°)","19:55 ↑ (276°)","12:39:27","uzhgorod"
2016,3,"29","7:14 ↑ (84°)","19:57 ↑ (277°)","12:43:01","uzhgorod"
2016,3,"30","7:12 ↑ (83°)","19:58 ↑ (277°)","12:46:35","uzhgorod"
2016,3,"31","7:10 ↑ (83°)","20:00 ↑ (278°)","12:50:07","uzhgorod"
2016,4,"1","7:08 ↑ (82°)","20:01 ↑ (278°)","12:53:41","uzhgorod"
2016,4,"2","7:06 ↑ (81°)","20:03 ↑ (279°)","12:57:14","uzhgorod"
2016,4,"3","7:04 ↑ (81°)","20:04 ↑ (280°)","13:00:46","uzhgorod"
2016,4,"4","7:02 ↑ (80°)","20:06 ↑ (280°)","13:04:19","uzhgorod"
2016,4,"5","6:59 ↑ (80°)","20:07 ↑ (281°)","13:07:51","uzhgorod"
2016,4,"6","6:57 ↑ (79°)","20:09 ↑ (281°)","13:11:21","uzhgorod"
