"year","month","day","start","end","length","city"
2016,1,"1","7:28 ↑ (125°)","15:56 ↑ (235°)","8:28:22","zaporizhia"
2016,1,"2","7:28 ↑ (124°)","15:57 ↑ (236°)","8:29:20","zaporizhia"
2016,1,"3","7:28 ↑ (124°)","15:58 ↑ (236°)","8:30:22","zaporizhia"
2016,1,"4","7:28 ↑ (124°)","15:59 ↑ (236°)","8:31:30","zaporizhia"
2016,1,"5","7:28 ↑ (124°)","16:01 ↑ (236°)","8:32:44","zaporizhia"
2016,1,"6","7:28 ↑ (124°)","16:02 ↑ (236°)","8:34:01","zaporizhia"
2016,1,"7","7:27 ↑ (124°)","16:03 ↑ (237°)","8:35:24","zaporizhia"
2016,1,"8","7:27 ↑ (123°)","16:04 ↑ (237°)","8:36:51","zaporizhia"
2016,1,"9","7:27 ↑ (123°)","16:05 ↑ (237°)","8:38:23","zaporizhia"
2016,1,"10","7:26 ↑ (123°)","16:06 ↑ (237°)","8:39:59","zaporizhia"
2016,1,"11","7:26 ↑ (123°)","16:08 ↑ (237°)","8:41:41","zaporizhia"
2016,1,"12","7:25 ↑ (122°)","16:09 ↑ (238°)","8:43:26","zaporizhia"
2016,1,"13","7:25 ↑ (122°)","16:10 ↑ (238°)","8:45:16","zaporizhia"
2016,1,"14","7:24 ↑ (122°)","16:12 ↑ (238°)","8:47:10","zaporizhia"
2016,1,"15","7:24 ↑ (122°)","16:13 ↑ (239°)","8:49:08","zaporizhia"
2016,1,"16","7:23 ↑ (121°)","16:14 ↑ (239°)","8:51:09","zaporizhia"
2016,1,"17","7:22 ↑ (121°)","16:16 ↑ (239°)","8:53:15","zaporizhia"
2016,1,"18","7:22 ↑ (121°)","16:17 ↑ (240°)","8:55:24","zaporizhia"
2016,1,"19","7:21 ↑ (120°)","16:19 ↑ (240°)","8:57:38","zaporizhia"
2016,1,"20","7:20 ↑ (120°)","16:20 ↑ (240°)","8:59:54","zaporizhia"
2016,1,"21","7:19 ↑ (120°)","16:21 ↑ (241°)","9:02:13","zaporizhia"
